parent_bite_id,phase,psi_range,delta_psi_range,rms_change_from_psi0,max_abs_change_from_psi0,total_abs_psi_travel,n_frames
trial_0012_bite_013,withdrawal,0.40680223673489424,0.40680223673489424,0.16927555182999815,0.3983603021997131,0.49799898651032626,120
trial_0012_bite_014,transfer,0.30522678127760106,0.30522678127760106,0.22567505288852854,0.30522678127760106,0.36321713896830765,176
trial_0012_bite_014,withdrawal,0.36137379860241303,0.36137379860241303,0.19321230128133282,0.34720786147206395,0.39964144262734225,120
trial_0012_bite_015,transfer,0.3611263117543704,0.3611263117543704,0.2521627147645272,0.3611263117543704,0.4750711916348309,151
trial_0012_bite_015,withdrawal,0.39156331213951745,0.39156331213951745,0.12249830428070486,0.32629785701049396,0.4766037914265855,115
trial_0013_bite_001,transfer,0.18747888609619956,0.18747888609619956,0.14168169198687727,0.18747888609619956,0.23226178054059465,124
trial_0013_bite_001,withdrawal,0.5510476329535718,0.5510476329535718,0.3875260350808941,0.5510476329535718,0.6358447104662486,85
trial_0013_bite_002,transfer,0.18135905401050545,0.18135905401050545,0.13945612431931287,0.18135905401050545,0.2483411307349339,131
trial_0013_bite_002,withdrawal,0.37244351495629013,0.37244351495629013,0.18398051861352985,0.3541769330933824,0.41365079267438754,116
trial_0013_bite_003,transfer,0.1536661899881615,0.1536661899881615,0.09867808869624976,0.1536661899881615,0.2573917260097329,164
trial_0013_bite_003,withdrawal,0.37083459103126426,0.37083459103126426,0.23667400634354,0.36695621269599554,0.5137874122510491,94
trial_0013_bite_004,transfer,0.008320985280614757,0.008320985280614757,0.0028791925997594635,0.00602700913435017,0.02750720591484912,20
trial_0013_bite_004,withdrawal,0.3381641190996616,0.16115656553889002,0.050305957501941535,0.14930581916352148,0.25801139134458806,71
trial_0013_bite_005,transfer,0.1156439466340764,0.06051320923085912,0.025765929337449308,0.051522314117944834,0.1300584682194703,88
trial_0013_bite_005,withdrawal,0.12182303243737413,0.16603993113403304,0.0685935188894255,0.12182303243737413,0.2059359691677547,81
trial_0013_bite_006,transfer,0.1973287000818642,0.1973287000818642,0.1518460888437244,0.1973287000818642,0.3141602384752473,158
trial_0013_bite_006,withdrawal,0.34374163158822224,0.34374163158822224,0.22162858950888312,0.34232082310627865,0.4469373212290222,142
trial_0013_bite_007,transfer,0.021856110279619756,0.021856110279619756,0.014480872385804642,0.021856110279619756,0.05614086712960198,39
