model,parent_bite_id,take,phase,circular_mae,circular_rmse,delta_rmse,n_frames_x,psi_range,delta_psi_range,rms_change_from_psi0,max_abs_change_from_psi0,total_abs_psi_travel,n_frames_y
R0_hold_psi0,trial_0014_bite_011,trial_0014,transfer,0.17049976529056624,0.1999407817815032,0.1999407817815032,131,0.29852291817495535,0.29852291817495535,0.1999407817815032,0.29852291817495535,0.3068075236905994,131
R0_hold_psi0,trial_0014_bite_011,trial_0014,withdrawal,0.16773307587766373,0.22491457278926003,0.22491457278926,81,0.438303761248541,0.438303761248541,0.22491457278926,0.42679325135453894,0.4514491564516936,81
R0_hold_psi0,trial_0014_bite_012,trial_0014,transfer,0.2592185088408299,0.28939865569741324,0.28939865569741324,103,0.39792213462237314,0.39792213462237314,0.28939865569741324,0.39792213462237314,0.39959063090443525,103
R0_hold_psi0,trial_0014_bite_012,trial_0014,withdrawal,0.10125408743850797,0.1316230547189877,0.1316230547189877,104,0.27233651340181053,0.27233651340181053,0.1316230547189877,0.23372322605806062,0.3133587827420623,104
R0_hold_psi0,trial_0014_bite_013,trial_0014,transfer,0.2766973547514685,0.30286095830955945,0.30286095830955945,108,0.4045318172311756,0.4045318172311756,0.30286095830955945,0.4045318172311756,0.408601363292469,108
R0_hold_psi0,trial_0014_bite_013,trial_0014,withdrawal,0.0795801878511586,0.10415447433915784,0.10415447433915785,115,0.22717255469850128,0.22717255469850128,0.10415447433915785,0.18062832754095215,0.2765627638526169,115
R0_hold_psi0,trial_0014_bite_014,trial_0014,transfer,0.2471573547846914,0.2599417726358345,0.2599417726358345,129,0.2988253914229988,0.2988253914229988,0.2599417726358345,0.2988253914229988,0.3498205401928862,129
R0_hold_psi0,trial_0014_bite_014,trial_0014,withdrawal,0.26131493082639945,0.2955896132660152,0.2955896132660152,106,0.38614189705303614,0.38614189705303614,0.2955896132660152,0.3780708711104146,0.4013337974078799,106
R0_hold_psi0,trial_0014_bite_015,trial_0014,transfer,0.21323477371889488,0.23613882204188105,0.23613882204188105,130,0.313618238071216,0.313618238071216,0.23613882204188105,0.313618238071216,0.3228973664805874,130
R0_hold_psi0,trial_0014_bite_015,trial_0014,withdrawal,0.27894513154863243,0.3252344855591306,0.3252344855591306,106,0.43198653034068935,0.43198653034068935,0.3252344855591306,0.43081041025722167,0.43512570742111256,106
