grouping,group,condition,offset_rad,strategy,reference,support_bites,support_common_success_frames,psi_mae,psi_rmse,q_rms,elbow_mean,plane_mean
take,trial_0012,psi0_nominal,0.0,H_star,shifted_HumanGT,15,3279,0.10281118461742265,0.12181294122434783,0.25730691603835293,0.023915515833269858,0.10281118466788083
take,trial_0012,psi0_nominal,0.0,RobotSmooth,shifted_HumanGT,15,3268,0.10305686235299019,0.12628457519096778,0.24214840614266678,0.025469538587475107,0.10305686240402395
take,trial_0012,psi0_plus_025,0.25,B0,shifted_HumanGT,15,3077,0.07160047345257992,0.08455404433911223,0.17614351958198374,0.015546197166837746,0.07160047349792786
take,trial_0012,psi0_plus_025,0.25,B2,shifted_HumanGT,15,3092,0.0735167659660152,0.09301793913410192,0.2238673717471744,0.016613899677263868,0.07351676600999117
take,trial_0012,psi0_plus_025,0.25,B3,shifted_HumanGT,15,3093,0.07979706915179771,0.09704929204748512,0.24065322704545974,0.01829478366154257,0.0797970691958105
take,trial_0012,psi0_plus_025,0.25,StrongLocal,shifted_HumanGT,15,3091,0.09527644667500859,0.11387999695238382,0.28292574154990446,0.021651590311998144,0.09527644671902065
take,trial_0012,psi0_plus_025,0.25,H_star,shifted_HumanGT,15,3094,0.09764120187918074,0.11768797254690745,0.26479809600784765,0.02193835316722383,0.09764120192316383
take,trial_0012,psi0_plus_025,0.25,RobotSmooth,shifted_HumanGT,15,3086,0.08450670229885505,0.1077214958172892,0.22002536779519385,0.019083686297790885,0.08450670234271643
take,trial_0013,psi0_minus_025,-0.25,B0,shifted_HumanGT,12,2664,0.10917544807980345,0.1322764833550988,0.26937538932889765,0.0284591146019928,0.10917544814330153
take,trial_0013,psi0_minus_025,-0.25,B2,shifted_HumanGT,12,2664,0.05298441124202637,0.06366168108543027,0.13078604142816488,0.013263148853247581,0.05298441130554981
take,trial_0013,psi0_minus_025,-0.25,B3,shifted_HumanGT,12,2664,0.05445601762717717,0.06441446133791236,0.16444170810801528,0.013563013260931985,0.05445601769070522
take,trial_0013,psi0_minus_025,-0.25,StrongLocal,shifted_HumanGT,12,2664,0.051616446123854375,0.061481177062615265,0.16647313089866214,0.012662453839665008,0.05161644618736353
take,trial_0013,psi0_minus_025,-0.25,H_star,shifted_HumanGT,12,2664,0.05247305265706136,0.061606700297479035,0.14876683740642607,0.013251374706355004,0.05247305272057854
take,trial_0013,psi0_minus_025,-0.25,RobotSmooth,shifted_HumanGT,12,2664,0.10847412668801876,0.13146494056512714,0.26563317609027853,0.027939638344726302,0.10847412675153893
take,trial_0013,psi0_nominal,0.0,B0,shifted_HumanGT,12,2650,0.10877965666867989,0.13191040056919506,0.23920870403792702,0.027973429978734626,0.10877965674954539
take,trial_0013,psi0_nominal,0.0,B2,shifted_HumanGT,12,2650,0.05286358464517438,0.06356697098065796,0.13395353081268535,0.012959221039174193,0.05286358472604923
take,trial_0013,psi0_nominal,0.0,B3,shifted_HumanGT,12,2650,0.05432065557200414,0.06429275356665697,0.13417785338582863,0.013248578489669828,0.05432065565286065
take,trial_0013,psi0_nominal,0.0,StrongLocal,shifted_HumanGT,12,2650,0.05139847700270495,0.061286687355194304,0.12745332648453475,0.012399981927773038,0.05139847708357818
take,trial_0013,psi0_nominal,0.0,H_star,shifted_HumanGT,12,2650,0.05221421668184884,0.06131737124177685,0.13043651698822567,0.012888212140297494,0.05221421676272231
take,trial_0013,psi0_nominal,0.0,RobotSmooth,shifted_HumanGT,12,2650,0.10571205295923075,0.13001107200374826,0.23839195715448994,0.026662328172642063,0.10571205304009161
take,trial_0013,psi0_plus_025,0.25,B0,shifted_HumanGT,12,2642,0.10853893107345663,0.13168472404557247,0.3159563516748397,0.02723994682072602,0.10853893109962359
take,trial_0013,psi0_plus_025,0.25,B2,shifted_HumanGT,12,2642,0.052792045795199305,0.06351056176197521,0.10188738807996406,0.012504211596239169,0.05279204582137351
take,trial_0013,psi0_plus_025,0.25,B3,shifted_HumanGT,12,2642,0.05424023553863,0.06421893326135088,0.10342492475259206,0.012778953006634506,0.05424023556480472
take,trial_0013,psi0_plus_025,0.25,StrongLocal,shifted_HumanGT,12,2642,0.05126701099924968,0.06116819201152764,0.09956539646856351,0.011945657332090574,0.05126701102537654
take,trial_0013,psi0_plus_025,0.25,H_star,shifted_HumanGT,12,2642,0.05205982889473962,0.06113957304587764,0.09958772857460584,0.012457042612668051,0.05205982892090894
take,trial_0013,psi0_plus_025,0.25,RobotSmooth,shifted_HumanGT,12,2642,0.10595797148684921,0.13097416823594235,0.22619336523317682,0.025716826925062237,0.10595797151301739
take,trial_0014,psi0_minus_025,-0.25,B0,shifted_HumanGT,21,4629,0.16168824281524166,0.19072374622175384,0.9729073799365392,0.04404720191890036,0.16168824284966601
take,trial_0014,psi0_minus_025,-0.25,B2,shifted_HumanGT,21,4657,0.07331919193174369,0.08534873664863007,0.3740915585518237,0.01958982798998234,0.07331919196576353
take,trial_0014,psi0_minus_025,-0.25,B3,shifted_HumanGT,21,4657,0.07293052124900143,0.08646168395717709,0.4453176610063174,0.019439916512376608,0.07293052128301841
take,trial_0014,psi0_minus_025,-0.25,StrongLocal,shifted_HumanGT,21,4656,0.07667309597519378,0.09107027986329919,0.5466411288080492,0.02042052769849977,0.07667309600921095
take,trial_0014,psi0_minus_025,-0.25,H_star,shifted_HumanGT,21,4657,0.07371482994018547,0.08747566816734234,0.44773913853905695,0.01966867177768959,0.0737148299742046
take,trial_0014,psi0_minus_025,-0.25,RobotSmooth,shifted_HumanGT,21,4657,0.17898458840169756,0.21350949368136707,0.5233922491863153,0.049773869322270355,0.17898458843573645
take,trial_0014,psi0_nominal,0.0,B0,shifted_HumanGT,21,4648,0.16237406119533868,0.19133436039274507,0.35014520801155546,0.0440706653533738,0.16237406124714684
take,trial_0014,psi0_nominal,0.0,B2,shifted_HumanGT,21,4648,0.07328534358287243,0.0853232641199522,0.16077780344243536,0.019449125238533947,0.07328534363465367
take,trial_0014,psi0_nominal,0.0,B3,shifted_HumanGT,21,4648,0.07288816399169981,0.08643078820626082,0.16258787773560682,0.019300011727645634,0.07288816404348505
take,trial_0014,psi0_nominal,0.0,StrongLocal,shifted_HumanGT,21,4648,0.07662418438646398,0.09102669572970686,0.18420703088997697,0.02029053676307284,0.07662418443824849
take,trial_0014,psi0_nominal,0.0,H_star,shifted_HumanGT,21,4648,0.07365640991140476,0.08742505896190202,0.1640467875408659,0.019530885852156926,0.07365640996319207
take,trial_0014,psi0_nominal,0.0,RobotSmooth,shifted_HumanGT,21,4648,0.1578263716873565,0.1850702595376026,0.3394391182775968,0.04263491617442043,0.15782637173916408
take,trial_0014,psi0_plus_025,0.25,B0,shifted_HumanGT,21,4589,0.1590856994053443,0.18766265605066093,0.3354541836072863,0.04262831499862065,0.15908569946737453
take,trial_0014,psi0_plus_025,0.25,B2,shifted_HumanGT,21,4645,0.0732718191968951,0.08531224190488054,0.15030604583825669,0.01917988507231166,0.07327181925659954
take,trial_0014,psi0_plus_025,0.25,B3,shifted_HumanGT,21,4645,0.07287025219843904,0.0864158953190446,0.15216899560995487,0.01903627955049906,0.07287025225811448
take,trial_0014,psi0_plus_025,0.25,StrongLocal,shifted_HumanGT,21,4645,0.07659490226969132,0.0909946849511932,0.15983578188547817,0.020030495225696138,0.07659490232939688
take,trial_0014,psi0_plus_025,0.25,H_star,shifted_HumanGT,21,4645,0.07363480679036694,0.08740566410095912,0.153865068630863,0.019271865578307575,0.07363480685007298
take,trial_0014,psi0_plus_025,0.25,RobotSmooth,shifted_HumanGT,21,4645,0.1551254966636939,0.1818793019744491,0.31552950119084006,0.041369761509803676,0.1551254967233929
take,trial_0015,psi0_minus_025,-0.25,B0,shifted_HumanGT,19,5219,0.1385981932420462,0.16672015668412152,0.32316567125997797,0.03571764035116972,0.13859819327326703
take,trial_0015,psi0_minus_025,-0.25,B2,shifted_HumanGT,19,5218,0.08085482460825667,0.09765105337840245,0.18494936371910634,0.021501872015649362,0.08085482463948264
take,trial_0015,psi0_minus_025,-0.25,B3,shifted_HumanGT,19,5218,0.08006980499433465,0.09701918763101014,0.18390540848757284,0.02121512319772417,0.08006980502549758
take,trial_0015,psi0_minus_025,-0.25,StrongLocal,shifted_HumanGT,19,5218,0.07259496290723984,0.08839160665617359,0.16908465765158223,0.019036544751841154,0.07259496293846208
