grouping,group,strategy,condition,offset_rad,metric,value,nominal_value,delta_from_nominal
overall,overall,HumanGT,psi0_minus_025,-0.25,trajectory_frame_success_percent,95.26011919543085,94.76967966227961,0.4904395331512319
overall,overall,HumanGT,psi0_minus_025,-0.25,violations,21.0,15.0,6.0
overall,overall,HumanGT,psi0_minus_025,-0.25,travel,5.082663722598748,4.802443288488455,0.2802204341102934
overall,overall,HumanGT,psi0_minus_025,-0.25,rms_velocity,0.9841777130734104,0.9493233010479678,0.034854412025442594
overall,overall,HumanGT,psi0_minus_025,-0.25,min_margin,0.49230537436377886,0.39810889309773706,0.0941964812660418
overall,overall,HumanGT,psi0_minus_025,-0.25,min_jp_sigma,0.2367744377798182,0.2265233039505077,0.010251133829310477
overall,overall,HumanGT,psi0_minus_025,-0.25,min_jr_sigma,1.2482550690364254,1.3139435547239697,-0.06568848568754437
overall,overall,HumanGT,psi0_plus_025,0.25,trajectory_frame_success_percent,93.83536131114974,94.76967966227961,-0.9343183511298747
overall,overall,HumanGT,psi0_plus_025,0.25,violations,23.0,15.0,8.0
overall,overall,HumanGT,psi0_plus_025,0.25,travel,4.581976209875999,4.802443288488455,-0.2204670786124554
overall,overall,HumanGT,psi0_plus_025,0.25,rms_velocity,0.9066371808037128,0.9493233010479678,-0.042686120244255
overall,overall,HumanGT,psi0_plus_025,0.25,min_margin,0.2830599407817403,0.39810889309773706,-0.11504895231599677
overall,overall,HumanGT,psi0_plus_025,0.25,min_jp_sigma,0.21608246056152763,0.2265233039505077,-0.010440843388980076
overall,overall,HumanGT,psi0_plus_025,0.25,min_jr_sigma,1.3413947309445098,1.3139435547239697,0.027451176220540052
overall,overall,RobotSmooth,psi0_minus_025,-0.25,trajectory_frame_success_percent,95.38428110255774,95.38428110255774,0.0
overall,overall,RobotSmooth,psi0_minus_025,-0.25,violations,1.0,3.0,-2.0
overall,overall,RobotSmooth,psi0_minus_025,-0.25,travel,5.452526619902134,5.025624580374311,0.4269020395278229
overall,overall,RobotSmooth,psi0_minus_025,-0.25,rms_velocity,1.04708922990057,0.9425859382731533,0.10450329162741678
overall,overall,RobotSmooth,psi0_minus_025,-0.25,min_margin,0.4593404689168764,0.36520453636908445,0.09413593254779196
overall,overall,RobotSmooth,psi0_minus_025,-0.25,min_jp_sigma,0.23686942384768575,0.22726249624382475,0.009606927603861004
overall,overall,RobotSmooth,psi0_minus_025,-0.25,min_jr_sigma,1.2379521363929018,1.301271933212025,-0.06331979681912325
overall,overall,RobotSmooth,psi0_plus_025,0.25,trajectory_frame_success_percent,95.38428110255774,95.38428110255774,0.0
overall,overall,RobotSmooth,psi0_plus_025,0.25,violations,2.0,3.0,-1.0
overall,overall,RobotSmooth,psi0_plus_025,0.25,travel,4.909499853405448,5.025624580374311,-0.116124726968863
overall,overall,RobotSmooth,psi0_plus_025,0.25,rms_velocity,0.9262142263691031,0.9425859382731533,-0.01637171190405018
overall,overall,RobotSmooth,psi0_plus_025,0.25,min_margin,0.2573686260083832,0.36520453636908445,-0.10783591036070128
overall,overall,RobotSmooth,psi0_plus_025,0.25,min_jp_sigma,0.21711317593020368,0.22726249624382475,-0.010149320313621063
overall,overall,RobotSmooth,psi0_plus_025,0.25,min_jr_sigma,1.3323430156846323,1.301271933212025,0.03107108247260726
overall,overall,StrongLocal,psi0_minus_025,-0.25,trajectory_frame_success_percent,95.30667991060342,94.99006704742985,0.3166128631735745
overall,overall,StrongLocal,psi0_minus_025,-0.25,violations,56.0,21.0,35.0
overall,overall,StrongLocal,psi0_minus_025,-0.25,travel,5.249028107703437,4.969931228677837,0.2790968790255999
overall,overall,StrongLocal,psi0_minus_025,-0.25,rms_velocity,1.0344954951926812,0.9570886502270308,0.07740684496565042
overall,overall,StrongLocal,psi0_minus_025,-0.25,min_margin,0.479679327657475,0.38430391253965207,0.09537541511782294
overall,overall,StrongLocal,psi0_minus_025,-0.25,min_jp_sigma,0.23621625443029773,0.2264241066752862,0.009792147755011527
overall,overall,StrongLocal,psi0_minus_025,-0.25,min_jr_sigma,1.2498744265988697,1.3121833928302113,-0.062308966231341634
overall,overall,StrongLocal,psi0_plus_025,0.25,trajectory_frame_success_percent,94.4127141792898,94.99006704742985,-0.5773528681400535
overall,overall,StrongLocal,psi0_plus_025,0.25,violations,19.0,21.0,-2.0
overall,overall,StrongLocal,psi0_plus_025,0.25,travel,4.764744631601803,4.969931228677837,-0.20518659707603426
overall,overall,StrongLocal,psi0_plus_025,0.25,rms_velocity,0.9499128118132129,0.9570886502270308,-0.00717583841381797
overall,overall,StrongLocal,psi0_plus_025,0.25,min_margin,0.26961039252773367,0.38430391253965207,-0.1146935200119184
overall,overall,StrongLocal,psi0_plus_025,0.25,min_jp_sigma,0.21611573391450764,0.2264241066752862,-0.010308372760778561
overall,overall,StrongLocal,psi0_plus_025,0.25,min_jr_sigma,1.3397238920549923,1.3121833928302113,0.027540499224780968
phase,transfer,B0,psi0_minus_025,-0.25,trajectory_frame_success_percent,95.28911470701938,95.08477384436958,0.20434086264980067
phase,transfer,B0,psi0_minus_025,-0.25,violations,66.0,9.0,57.0
phase,transfer,B0,psi0_minus_025,-0.25,travel,4.168501221059601,4.088025039082647,0.0804761819769535
phase,transfer,B0,psi0_minus_025,-0.25,rms_velocity,0.6674593462963063,0.6892099754110699,-0.021750629114763553
phase,transfer,B0,psi0_minus_025,-0.25,min_margin,0.5680591301987028,0.4678842671974822,0.10017486300122058
phase,transfer,B0,psi0_minus_025,-0.25,min_jp_sigma,0.23967576293937484,0.22874571140873692,0.010930051530637919
phase,transfer,B0,psi0_minus_025,-0.25,min_jr_sigma,1.2387407134689865,1.3047104065855137,-0.06596969311652723
phase,transfer,B0,psi0_plus_025,0.25,trajectory_frame_success_percent,94.60981940685923,95.08477384436958,-0.47495443751034827
phase,transfer,B0,psi0_plus_025,0.25,violations,6.0,9.0,-3.0
phase,transfer,B0,psi0_plus_025,0.25,travel,4.06535349587741,4.088025039082647,-0.02267154320523712
phase,transfer,B0,psi0_plus_025,0.25,rms_velocity,0.7269402709985009,0.6892099754110699,0.03773029558743102
phase,transfer,B0,psi0_plus_025,0.25,min_margin,0.32906298529062794,0.4678842671974822,-0.13882128190685428
phase,transfer,B0,psi0_plus_025,0.25,min_jp_sigma,0.2160390595726536,0.22874571140873692,-0.012706651836083327
phase,transfer,B0,psi0_plus_025,0.25,min_jr_sigma,1.3505552926748874,1.3047104065855137,0.04584488608937365
phase,transfer,B2,psi0_minus_025,-0.25,trajectory_frame_success_percent,95.22284199480863,94.8914784337549,0.33136356105373466
phase,transfer,B2,psi0_minus_025,-0.25,violations,12.0,16.0,-4.0
phase,transfer,B2,psi0_minus_025,-0.25,travel,3.8809971999468966,3.868967939373232,0.01202926057366449
phase,transfer,B2,psi0_minus_025,-0.25,rms_velocity,0.6595261646190483,0.6811793807072597,-0.021653216088211358
phase,transfer,B2,psi0_minus_025,-0.25,min_margin,0.5583406829483948,0.45280676466347214,0.10553391828492265
phase,transfer,B2,psi0_minus_025,-0.25,min_jp_sigma,0.23633692489266672,0.22499593546044713,0.01134098943221959
phase,transfer,B2,psi0_minus_025,-0.25,min_jr_sigma,1.2712125826844276,1.3317335435968476,-0.060520960912419985
phase,transfer,B2,psi0_plus_025,0.25,trajectory_frame_success_percent,94.28950129784062,94.8914784337549,-0.6019771359142823
phase,transfer,B2,psi0_plus_025,0.25,violations,6.0,16.0,-10.0
phase,transfer,B2,psi0_plus_025,0.25,travel,3.8659568859502107,3.868967939373232,-0.003011053423021437
phase,transfer,B2,psi0_plus_025,0.25,rms_velocity,0.7266709147584733,0.6811793807072597,0.045491534051213645
phase,transfer,B2,psi0_plus_025,0.25,min_margin,0.31603165709953907,0.45280676466347214,-0.13677510756393307
phase,transfer,B2,psi0_plus_025,0.25,min_jp_sigma,0.21299002946666365,0.22499593546044713,-0.012005905993783483
phase,transfer,B2,psi0_plus_025,0.25,min_jr_sigma,1.3650336469400688,1.3317335435968476,0.0333001033432212
phase,transfer,B3,psi0_minus_025,-0.25,trajectory_frame_success_percent,95.22284199480863,94.89700115977246,0.3258408350361748
phase,transfer,B3,psi0_minus_025,-0.25,violations,9.0,15.0,-6.0
phase,transfer,B3,psi0_minus_025,-0.25,travel,4.091227500767254,4.03001660937239,0.061210891394864575
phase,transfer,B3,psi0_minus_025,-0.25,rms_velocity,0.6836253233128913,0.7023409786203021,-0.018715655307410817
phase,transfer,B3,psi0_minus_025,-0.25,min_margin,0.5551936398403325,0.4454087490687631,0.10978489077156944
phase,transfer,B3,psi0_minus_025,-0.25,min_jp_sigma,0.23658070779210555,0.22517895476807254,0.011401753024033012
phase,transfer,B3,psi0_minus_025,-0.25,min_jr_sigma,1.270948252121477,1.3307945784989077,-0.0598463263774307
phase,transfer,B3,psi0_plus_025,0.25,trajectory_frame_success_percent,94.23427403766499,94.89700115977246,-0.6627271221074693
phase,transfer,B3,psi0_plus_025,0.25,violations,8.0,15.0,-7.0
phase,transfer,B3,psi0_plus_025,0.25,travel,3.9866368702790798,4.03001660937239,-0.043379739093309944
phase,transfer,B3,psi0_plus_025,0.25,rms_velocity,0.7344082278470685,0.7023409786203021,0.0320672492267664
phase,transfer,B3,psi0_plus_025,0.25,min_margin,0.3065598139688104,0.4454087490687631,-0.13884893509995272
phase,transfer,B3,psi0_plus_025,0.25,min_jp_sigma,0.21298594831999265,0.22517895476807254,-0.012193006448079885
phase,transfer,B3,psi0_plus_025,0.25,min_jr_sigma,1.3647593462203094,1.3307945784989077,0.03396476772140167
phase,transfer,H_star,psi0_minus_025,-0.25,trajectory_frame_success_percent,95.2725465289667,94.90252388579003,0.370022643176668
phase,transfer,H_star,psi0_minus_025,-0.25,violations,15.0,14.0,1.0
phase,transfer,H_star,psi0_minus_025,-0.25,travel,4.245411954593438,4.151225651015848,0.09418630357759028
phase,transfer,H_star,psi0_minus_025,-0.25,rms_velocity,0.7168308355288737,0.7107940346042726,0.006036800924601127
phase,transfer,H_star,psi0_minus_025,-0.25,min_margin,0.5575471733872064,0.4487380263306956,0.10880914705651079
phase,transfer,H_star,psi0_minus_025,-0.25,min_jp_sigma,0.23693758403425672,0.22565949701949886,0.011278087014757854
phase,transfer,H_star,psi0_minus_025,-0.25,min_jr_sigma,1.2658023079046063,1.3273836301935893,-0.06158132228898294
phase,transfer,H_star,psi0_plus_025,0.25,trajectory_frame_success_percent,94.23979676368255,94.90252388579003,-0.6627271221074835
phase,transfer,H_star,psi0_plus_025,0.25,violations,9.0,14.0,-5.0
phase,transfer,H_star,psi0_plus_025,0.25,travel,4.07919471247646,4.151225651015848,-0.07203093853938736
phase,transfer,H_star,psi0_plus_025,0.25,rms_velocity,0.7325350529926687,0.7107940346042726,0.02174101838839615
phase,transfer,H_star,psi0_plus_025,0.25,min_margin,0.3105580922723731,0.4487380263306956,-0.13817993405832252
phase,transfer,H_star,psi0_plus_025,0.25,min_jp_sigma,0.21344661594619307,0.22565949701949886,-0.012212881073305787
phase,transfer,H_star,psi0_plus_025,0.25,min_jr_sigma,1.3633263605598014,1.3273836301935893,0.035942730366212094
phase,transfer,HumanGT,psi0_minus_025,-0.25,trajectory_frame_success_percent,95.21179654277351,94.88043298171978,0.33136356105373466
phase,transfer,HumanGT,psi0_minus_025,-0.25,violations,8.0,13.0,-5.0
phase,transfer,HumanGT,psi0_minus_025,-0.25,travel,3.92782798588992,3.8689004190552763,0.05892756683464384
phase,transfer,HumanGT,psi0_minus_025,-0.25,rms_velocity,0.6519709080678298,0.6871813152582887,-0.03521040719045898
phase,transfer,HumanGT,psi0_minus_025,-0.25,min_margin,0.5550199570664573,0.448670420110895,0.10634953695556237
phase,transfer,HumanGT,psi0_minus_025,-0.25,min_jp_sigma,0.2365687500324134,0.22527360165447802,0.011295148377935382
phase,transfer,HumanGT,psi0_minus_025,-0.25,min_jr_sigma,1.2673439776443627,1.3302972841470304,-0.06295330650266773
phase,transfer,HumanGT,psi0_plus_025,0.25,trajectory_frame_success_percent,94.25084221571768,94.88043298171978,-0.6295907660020958
phase,transfer,HumanGT,psi0_plus_025,0.25,violations,9.0,13.0,-4.0
phase,transfer,HumanGT,psi0_plus_025,0.25,travel,3.8179529749671977,3.8689004190552763,-0.05094744408807861
phase,transfer,HumanGT,psi0_plus_025,0.25,rms_velocity,0.6738286325778918,0.6871813152582887,-0.01335268268039691
phase,transfer,HumanGT,psi0_plus_025,0.25,min_margin,0.31138554674525964,0.448670420110895,-0.13728487336563533
phase,transfer,HumanGT,psi0_plus_025,0.25,min_jp_sigma,0.21296198808456626,0.22527360165447802,-0.012311613569911756
phase,transfer,HumanGT,psi0_plus_025,0.25,min_jr_sigma,1.3633566229279055,1.3302972841470304,0.03305933878087508
phase,transfer,RobotSmooth,psi0_minus_025,-0.25,trajectory_frame_success_percent,95.39404650135307,95.39404650135307,0.0
phase,transfer,RobotSmooth,psi0_minus_025,-0.25,violations,1.0,3.0,-2.0
phase,transfer,RobotSmooth,psi0_minus_025,-0.25,travel,4.280423509318959,4.15571210282019,0.12471140649876933
phase,transfer,RobotSmooth,psi0_minus_025,-0.25,rms_velocity,0.6787590329789064,0.6716741284025957,0.007084904576310724
phase,transfer,RobotSmooth,psi0_minus_025,-0.25,min_margin,0.5704080796032266,0.46983040636540674,0.10057767323781985
phase,transfer,RobotSmooth,psi0_minus_025,-0.25,min_jp_sigma,0.23992291302871754,0.22949581049120718,0.010427102537510363
phase,transfer,RobotSmooth,psi0_minus_025,-0.25,min_jr_sigma,1.2414522355851652,1.3044761534432008,-0.06302391785803563
phase,transfer,RobotSmooth,psi0_plus_025,0.25,trajectory_frame_success_percent,95.39404650135307,95.39404650135307,0.0
phase,transfer,RobotSmooth,psi0_plus_025,0.25,violations,2.0,3.0,-1.0
phase,transfer,RobotSmooth,psi0_plus_025,0.25,travel,4.140001821421496,4.15571210282019,-0.015710281398694015
phase,transfer,RobotSmooth,psi0_plus_025,0.25,rms_velocity,0.6794013538203282,0.6716741284025957,0.0077272254177325195
phase,transfer,RobotSmooth,psi0_plus_025,0.25,min_margin,0.33281229393556666,0.46983040636540674,-0.13701811242984008
phase,transfer,RobotSmooth,psi0_plus_025,0.25,min_jp_sigma,0.21677111253991815,0.22949581049120718,-0.012724697951289027
phase,transfer,RobotSmooth,psi0_plus_025,0.25,min_jr_sigma,1.3512519443446402,1.3044761534432008,0.04677579090143946
phase,transfer,StrongLocal,psi0_minus_025,-0.25,trajectory_frame_success_percent,95.28359198100182,94.92461478986027,0.35897719114154825
phase,transfer,StrongLocal,psi0_minus_025,-0.25,violations,14.0,18.0,-4.0
phase,transfer,StrongLocal,psi0_minus_025,-0.25,travel,4.108527077171332,4.030299834010405,0.078227243160927
phase,transfer,StrongLocal,psi0_minus_025,-0.25,rms_velocity,0.69438941983438,0.6920314156898619,0.0023580041445180333
phase,transfer,StrongLocal,psi0_minus_025,-0.25,min_margin,0.5585374222735962,0.44983708813157036,0.10870033414202579
phase,transfer,StrongLocal,psi0_minus_025,-0.25,min_jp_sigma,0.23686689162218225,0.2256894228516574,0.011177468770524834
phase,transfer,StrongLocal,psi0_minus_025,-0.25,min_jr_sigma,1.2665275569386254,1.3273248149760621,-0.06079725803743674
phase,transfer,StrongLocal,psi0_plus_025,0.25,trajectory_frame_success_percent,94.30054674987574,94.92461478986027,-0.624068039984536
phase,transfer,StrongLocal,psi0_plus_025,0.25,violations,8.0,18.0,-10.0
phase,transfer,StrongLocal,psi0_plus_025,0.25,travel,3.981245691927105,4.030299834010405,-0.04905414208330017
phase,transfer,StrongLocal,psi0_plus_025,0.25,rms_velocity,0.729453009440286,0.6920314156898619,0.03742159375042409
phase,transfer,StrongLocal,psi0_plus_025,0.25,min_margin,0.3110133418181595,0.44983708813157036,-0.13882374631341088
phase,transfer,StrongLocal,psi0_plus_025,0.25,min_jp_sigma,0.21342031627429442,0.2256894228516574,-0.012269106577362993
phase,transfer,StrongLocal,psi0_plus_025,0.25,min_jr_sigma,1.3621780387430613,1.3273248149760621,0.034853223766999175
phase,withdrawal,B0,psi0_minus_025,-0.25,trajectory_frame_success_percent,94.97483875540435,93.52186547593735,1.4529732794670025
phase,withdrawal,B0,psi0_minus_025,-0.25,violations,10.0,17.0,-7.0
phase,withdrawal,B0,psi0_minus_025,-0.25,travel,6.3344525421536755,5.852345696820492,0.4821068453331838
phase,withdrawal,B0,psi0_minus_025,-0.25,rms_velocity,1.3377485023135092,1.2326751799726137,0.1050733223408955
phase,withdrawal,B0,psi0_minus_025,-0.25,min_margin,0.33104272903361665,0.24825775896512667,0.08278497006848998
phase,withdrawal,B0,psi0_minus_025,-0.25,min_jp_sigma,0.2336238323083329,0.22629599675875045,0.00732783554958244
phase,withdrawal,B0,psi0_minus_025,-0.25,min_jr_sigma,1.2393428181062554,1.2971615791697828,-0.05781876106352746
phase,withdrawal,B0,psi0_plus_025,0.25,trajectory_frame_success_percent,92.59338011198525,93.52186547593735,-0.9284853639520918
phase,withdrawal,B0,psi0_plus_025,0.25,violations,36.0,17.0,19.0
phase,withdrawal,B0,psi0_plus_025,0.25,travel,5.546801978433729,5.852345696820492,-0.30554371838676264
phase,withdrawal,B0,psi0_plus_025,0.25,rms_velocity,1.1833386472921021,1.2326751799726137,-0.049336532680511525
phase,withdrawal,B0,psi0_plus_025,0.25,min_margin,0.17008800438623384,0.24825775896512667,-0.07816975457889283
phase,withdrawal,B0,psi0_plus_025,0.25,min_jp_sigma,0.2191830008133971,0.22629599675875045,-0.007112995945353362
phase,withdrawal,B0,psi0_plus_025,0.25,min_jr_sigma,1.3145068927557508,1.2971615791697828,0.017345313585968025
phase,withdrawal,B2,psi0_minus_025,-0.25,trajectory_frame_success_percent,95.35048550570558,95.08115387341414,0.26933163229143986
phase,withdrawal,B2,psi0_minus_025,-0.25,violations,28.0,2.0,26.0
phase,withdrawal,B2,psi0_minus_025,-0.25,travel,6.168509650185589,5.699429657830931,0.4690799923546578
phase,withdrawal,B2,psi0_minus_025,-0.25,rms_velocity,1.3063756272412008,1.1646761226137756,0.1416995046274252
phase,withdrawal,B2,psi0_minus_025,-0.25,min_margin,0.41288459249241183,0.32416925086564075,0.08871534162677108
phase,withdrawal,B2,psi0_minus_025,-0.25,min_jp_sigma,0.23804649647565485,0.22936702774775355,0.00867946872790129
phase,withdrawal,B2,psi0_minus_025,-0.25,min_jr_sigma,1.2349529458330515,1.2967518922197951,-0.06179894638674366
phase,withdrawal,B2,psi0_plus_025,0.25,trajectory_frame_success_percent,94.52831525976327,95.08115387341414,-0.552838613650863
phase,withdrawal,B2,psi0_plus_025,0.25,violations,13.0,2.0,11.0
phase,withdrawal,B2,psi0_plus_025,0.25,travel,5.363393067606378,5.699429657830931,-0.3360365902245537
phase,withdrawal,B2,psi0_plus_025,0.25,rms_velocity,1.0939663715872405,1.1646761226137756,-0.0707097510265351
phase,withdrawal,B2,psi0_plus_025,0.25,min_margin,0.2297433052113111,0.32416925086564075,-0.09442594565432966
phase,withdrawal,B2,psi0_plus_025,0.25,min_jp_sigma,0.22072712239352693,0.22936702774775355,-0.008639905354226624
phase,withdrawal,B2,psi0_plus_025,0.25,min_jr_sigma,1.3168342012300944,1.2967518922197951,0.020082309010299282
phase,withdrawal,B3,psi0_minus_025,-0.25,trajectory_frame_success_percent,95.34339783117159,95.08115387341414,0.26224395775744824
phase,withdrawal,B3,psi0_minus_025,-0.25,violations,26.0,4.0,22.0
phase,withdrawal,B3,psi0_minus_025,-0.25,travel,6.446007827635061,5.953701746656313,0.4923060809787474
phase,withdrawal,B3,psi0_minus_025,-0.25,rms_velocity,1.3492816532446628,1.2046189117225123,0.14466274152215042
phase,withdrawal,B3,psi0_minus_025,-0.25,min_margin,0.40666403833506715,0.3183247227010058,0.08833931563406133
phase,withdrawal,B3,psi0_minus_025,-0.25,min_jp_sigma,0.23756111404021868,0.22899200750753884,0.008569106532679838
phase,withdrawal,B3,psi0_minus_025,-0.25,min_jr_sigma,1.232147398457104,1.2958704989985383,-0.06372310054143426
phase,withdrawal,B3,psi0_plus_025,0.25,trajectory_frame_success_percent,94.36529874548161,95.08115387341414,-0.715855127932528
phase,withdrawal,B3,psi0_plus_025,0.25,violations,16.0,4.0,12.0
phase,withdrawal,B3,psi0_plus_025,0.25,travel,5.59003109093687,5.953701746656313,-0.3636706557194431
phase,withdrawal,B3,psi0_plus_025,0.25,rms_velocity,1.133618807225517,1.2046189117225123,-0.07100010449699545
phase,withdrawal,B3,psi0_plus_025,0.25,min_margin,0.2256845149227542,0.3183247227010058,-0.0926402077782516
phase,withdrawal,B3,psi0_plus_025,0.25,min_jp_sigma,0.22053402475341197,0.22899200750753884,-0.008457982754126875
phase,withdrawal,B3,psi0_plus_025,0.25,min_jr_sigma,1.3168467664149766,1.2958704989985383,0.02097626741643821
phase,withdrawal,H_star,psi0_minus_025,-0.25,trajectory_frame_success_percent,95.34339783117159,95.06697852434617,0.27641930682541727
phase,withdrawal,H_star,psi0_minus_025,-0.25,violations,42.0,3.0,39.0
phase,withdrawal,H_star,psi0_minus_025,-0.25,travel,6.498504888004181,6.010376134171934,0.48812875383224696
phase,withdrawal,H_star,psi0_minus_025,-0.25,rms_velocity,1.3505431044221765,1.2074816796577748,0.14306142476440176
phase,withdrawal,H_star,psi0_minus_025,-0.25,min_margin,0.4140382312030897,0.32807785742669365,0.08596037377639604
phase,withdrawal,H_star,psi0_minus_025,-0.25,min_jp_sigma,0.23794515678473324,0.22935284195639832,0.008592314828334918
