condition,offset_rad,strategy,support_bites,source_runs,initial_success_runs,initial_state_success_percent,source_frames,success_frames,trajectory_frame_success_percent,complete_success_runs,complete_run_success_percent,JOINT_LIMIT,NO_VALID_BRANCH,other_failure_frames,violations,continuous_frame_percent,branch_changes,travel,rms_velocity,rms_acceleration,rms_jerk,min_margin,min_jp_sigma,min_jr_sigma,take
psi0_minus_025,-0.25,B3,12,29,29,100.0,2756,2668,96.80696661828738,26,89.65517241379311,0,88,0,3,99.88755622188906,3,5.087043901791623,1.0443145133908043,53.120978653612866,8187.590882048701,0.49369440173160495,0.21990514942608638,1.3101304742370359,trial_0013
psi0_minus_025,-0.25,StrongLocal,12,29,29,100.0,2756,2669,96.8432510885341,26,89.65517241379311,0,87,0,3,99.88759835144249,4,5.005949162568048,1.0114048216813296,47.427804317998856,7497.707402431547,0.4988021645732821,0.2203599821710501,1.3082139985681813,trial_0013
psi0_minus_025,-0.25,H_star,12,29,29,100.0,2756,2668,96.80696661828738,26,89.65517241379311,0,88,0,3,99.88755622188906,4,5.093987055941992,1.0239425567609495,56.61910738030648,9147.058765537584,0.497317527542326,0.22059310724115452,1.3086162837735964,trial_0013
psi0_minus_025,-0.25,RobotSmooth,12,29,29,100.0,2756,2703,98.07692307692308,27,93.10344827586206,0,0,0,0,100.0,0,5.152355474874177,1.0106865012528181,55.296259577190426,8924.129979951305,0.46634495010875526,0.22107066660010175,1.3020514739780675,trial_0013
psi0_nominal,0.0,HumanGT,12,29,29,100.0,2756,2650,96.15384615384616,26,89.65517241379311,0,106,0,3,99.88679245283019,2,4.673449861616607,0.9517519593597813,39.7487102073936,6029.360105721119,0.40392865533592204,0.20903847239173526,1.3473346528977992,trial_0013
psi0_nominal,0.0,B0,12,29,29,100.0,2756,2660,96.5166908563135,26,89.65517241379311,0,96,0,2,99.92481203007519,3,4.798381742464519,0.9834223572943023,37.62954039865033,5475.116791225526,0.35551907987674464,0.20876278427276285,1.345930513668221,trial_0013
psi0_nominal,0.0,B2,12,29,29,100.0,2756,2653,96.26269956458636,26,89.65517241379311,0,103,0,3,99.8869204673954,2,4.565883874937019,0.9815727551882927,39.682124629015256,5655.0603262431205,0.3920601200391158,0.20793957460535362,1.3504234848059624,trial_0013
psi0_nominal,0.0,B3,12,29,29,100.0,2756,2653,96.26269956458636,26,89.65517241379311,0,103,0,3,99.8869204673954,2,4.791774279030643,0.993626181007933,49.52230701436856,7680.335728788624,0.383135809912607,0.20781398141935925,1.3503571773677265,trial_0013
psi0_nominal,0.0,StrongLocal,12,29,29,100.0,2756,2656,96.37155297532657,26,89.65517241379311,0,100,0,3,99.88704819277109,2,4.773375272339735,1.001913515181829,46.65328699138032,7075.949561797112,0.38725897946882376,0.20824595816543948,1.3475603234890576,trial_0013
psi0_nominal,0.0,H_star,12,29,29,100.0,2756,2655,96.33526850507982,26,89.65517241379311,0,101,0,2,99.92467043314501,1,4.8812371133646835,1.0290354485032784,56.64972992463414,8787.812227865226,0.3899702433689518,0.20866608841235001,1.3491354463442784,trial_0013
psi0_nominal,0.0,RobotSmooth,12,29,29,100.0,2756,2703,98.07692307692308,27,93.10344827586206,0,0,0,1,99.96300406955235,0,4.975136316889658,0.9919334697913872,52.529657528537236,8431.234056126164,0.3650759785268069,0.20920470341511124,1.3454993422484645,trial_0013
psi0_plus_025,0.25,HumanGT,12,29,29,100.0,2756,2642,95.86357039187227,26,89.65517241379311,0,114,0,0,100.0,0,4.574637982227976,0.9730268264345687,42.863042065804,6388.150252517174,0.28893638781725345,0.1967648382876153,1.3580996349124463,trial_0013
psi0_plus_025,0.25,B0,12,29,29,100.0,2756,2648,96.08127721335269,26,89.65517241379311,0,108,0,1,99.96223564954683,1,4.704885562545533,1.007668197475707,38.7915616088752,5775.641596121598,0.23596771009387943,0.19710948626600125,1.3556193552929205,trial_0013
psi0_plus_025,0.25,B2,12,29,29,100.0,2756,2643,95.89985486211901,26,89.65517241379311,0,113,0,0,100.0,0,4.453426131148794,0.9845285757596454,42.08625908652778,5851.407120074268,0.27420591695116303,0.19596375119434808,1.3585458544917401,trial_0013
psi0_plus_025,0.25,B3,12,29,29,100.0,2756,2644,95.93613933236574,26,89.65517241379311,0,112,0,0,100.0,0,4.683755623323939,1.0276043201878695,52.97002351075047,7855.693157223816,0.26152688759316883,0.1959200530458354,1.3582600832399232,trial_0013
