grouping,group,condition,offset_rad,strategy,support_bites,source_runs,initial_success_runs,initial_state_success_percent,source_frames,success_frames,trajectory_frame_success_percent,complete_success_runs,complete_run_success_percent,JOINT_LIMIT,NO_VALID_BRANCH,other_failure_frames,violations,continuous_frame_percent,branch_changes,travel,rms_velocity,rms_acceleration,rms_jerk,min_margin,min_jp_sigma,min_jr_sigma
phase,transfer,psi0_nominal,0.0,B0,127,135,135,100.0,18107,17217,95.08477384436958,115,85.18518518518519,0,890,0,9,99.94772608468374,11,4.088025039082647,0.6892099754110699,30.397872816743728,4119.189680682606,0.4678842671974822,0.22874571140873692,1.3047104065855137
phase,transfer,psi0_nominal,0.0,B2,127,135,135,100.0,18107,17182,94.8914784337549,115,85.18518518518519,0,925,0,16,99.90687929228262,14,3.868967939373232,0.6811793807072597,29.927617625342094,3940.311707248406,0.45280676466347214,0.22499593546044713,1.3317335435968476
phase,transfer,psi0_nominal,0.0,B3,127,135,135,100.0,18107,17183,94.89700115977246,115,85.18518518518519,0,924,0,15,99.91270441715649,15,4.03001660937239,0.7023409786203021,37.59548016293591,5371.090132066265,0.4454087490687631,0.22517895476807254,1.3307945784989077
phase,transfer,psi0_nominal,0.0,StrongLocal,127,135,135,100.0,18107,17188,94.92461478986027,114,84.44444444444444,0,919,0,18,99.89527577379567,17,4.030299834010405,0.6920314156898619,37.41117658508003,5542.525411413973,0.44983708813157036,0.2256894228516574,1.3273248149760621
phase,transfer,psi0_nominal,0.0,H_star,127,135,135,100.0,18107,17184,94.90252388579003,114,84.44444444444444,0,923,0,14,99.9185288640596,15,4.151225651015848,0.7107940346042726,46.235260328464385,7193.985053482011,0.4487380263306956,0.22565949701949886,1.3273836301935893
phase,transfer,psi0_nominal,0.0,RobotSmooth,127,135,135,100.0,18107,17273,95.39404650135307,116,85.92592592592592,0,0,0,3,99.98263185318126,1,4.15571210282019,0.6716741284025957,39.432826394769215,6122.867045187591,0.46983040636540674,0.22949581049120718,1.3044761534432008
phase,transfer,psi0_plus_025,0.25,HumanGT,127,135,135,100.0,18107,17066,94.25084221571768,111,82.22222222222223,51,990,0,9,99.947263564983,10,3.8179529749671977,0.6738286325778918,28.490191812677164,4038.1408405137677,0.31138554674525964,0.21296198808456626,1.3633566229279055
phase,transfer,psi0_plus_025,0.25,B0,127,135,135,100.0,18107,17131,94.60981940685923,112,82.96296296296296,27,949,0,6,99.96497577491098,10,4.06535349587741,0.7269402709985009,29.691628114470323,3889.727639954385,0.32906298529062794,0.2160390595726536,1.3505552926748874
phase,transfer,psi0_plus_025,0.25,B2,127,135,135,100.0,18107,17073,94.28950129784062,111,82.22222222222223,41,993,0,6,99.96485679142506,8,3.8659568859502107,0.7266709147584733,31.052791333138646,3910.61257684315,0.31603165709953907,0.21299002946666365,1.3650336469400688
phase,transfer,psi0_plus_025,0.25,B3,127,135,135,100.0,18107,17063,94.23427403766499,110,81.48148148148148,54,990,0,8,99.9531149270351,8,3.9866368702790798,0.7344082278470685,37.590329815990884,5179.766644637976,0.3065598139688104,0.21298594831999265,1.3647593462203094
phase,transfer,psi0_plus_025,0.25,StrongLocal,127,135,135,100.0,18107,17075,94.30054674987574,111,82.22222222222223,41,991,0,8,99.95314787701318,8,3.981245691927105,0.729453009440286,36.16734686732041,5076.027671602982,0.3110133418181595,0.21342031627429442,1.3621780387430613
phase,transfer,psi0_plus_025,0.25,H_star,127,135,135,100.0,18107,17064,94.23979676368255,110,81.48148148148148,51,992,0,9,99.94725738396625,9,4.07919471247646,0.7325350529926687,43.50358613176002,6696.267097688796,0.3105580922723731,0.21344661594619307,1.3633263605598014
phase,transfer,psi0_plus_025,0.25,RobotSmooth,127,135,135,100.0,18107,17273,95.39404650135307,116,85.92592592592592,0,0,0,2,99.98842123545418,1,4.140001821421496,0.6794013538203282,40.54403076000289,6186.610310271312,0.33281229393556666,0.21677111253991815,1.3512519443446402
phase,withdrawal,psi0_minus_025,-0.25,HumanGT,127,153,148,96.73202614379085,14109,13449,95.32213480756964,146,95.42483660130719,7,5,0,13,99.90333853818127,15,6.237499459307572,1.3076415276910462,37.44253736035741,5145.410441054847,0.43930659635588926,0.23886947892886423,1.2279195862009362
phase,withdrawal,psi0_minus_025,-0.25,B0,127,153,148,96.73202614379085,14109,13400,94.97483875540435,142,92.81045751633987,56,5,0,10,99.92537313432835,10,6.3344525421536755,1.3377485023135092,34.32426199417297,4593.033447680397,0.33104272903361665,0.2336238323083329,1.2393428181062554
phase,withdrawal,psi0_minus_025,-0.25,B2,127,153,148,96.73202614379085,14109,13453,95.35048550570558,147,96.07843137254902,3,5,0,28,99.7918679848361,30,6.168509650185589,1.3063756272412008,35.39506288060224,4741.165228571964,0.41288459249241183,0.23804649647565485,1.2349529458330515
phase,withdrawal,psi0_minus_025,-0.25,B3,127,153,148,96.73202614379085,14109,13452,95.34339783117159,147,96.07843137254902,4,5,0,26,99.80672019030628,38,6.446007827635061,1.3492816532446628,46.74356229116651,6900.812232548607,0.40666403833506715,0.23756111404021868,1.232147398457104
phase,withdrawal,psi0_minus_025,-0.25,StrongLocal,127,153,148,96.73202614379085,14109,13451,95.33631015663761,146,95.42483660130719,4,6,0,42,99.68775555720764,45,6.389529138235543,1.3465205993066336,46.67753629288483,6997.236011187801,0.412870317325223,0.2380094283213629,1.230787880837012
phase,withdrawal,psi0_minus_025,-0.25,H_star,127,153,148,96.73202614379085,14109,13452,95.34339783117159,147,96.07843137254902,4,5,0,42,99.68777876895629,49,6.498504888004181,1.3505431044221765,54.77954519012501,8561.539373845564,0.4140382312030897,0.23794515678473324,1.2336037381387623
phase,withdrawal,psi0_minus_025,-0.25,RobotSmooth,127,153,148,96.73202614379085,14109,13456,95.37174852930754,148,96.73202614379085,0,5,0,0,100.0,23,6.624629730485311,1.4189232015967392,59.41110994703688,8914.16726240466,0.3601238651965774,0.2358806951068335,1.2329159390593134
phase,withdrawal,psi0_nominal,0.0,HumanGT,127,153,148,96.73202614379085,14109,13351,94.62754270323907,141,92.15686274509804,105,5,0,2,99.98501984870047,2,5.7359861579216345,1.171557918858022,33.34355868532567,4556.764811788419,0.35583593314406714,0.22991672947003286,1.2965986859797778
phase,withdrawal,psi0_nominal,0.0,B0,127,153,148,96.73202614379085,14109,13195,93.52186547593735,140,91.50326797385621,261,5,0,17,99.87116331943918,19,5.852345696820492,1.2326751799726137,30.947396212979175,4107.739723214359,0.24825775896512667,0.22629599675875045,1.2971615791697828
phase,withdrawal,psi0_nominal,0.0,B2,127,153,148,96.73202614379085,14109,13415,95.08115387341414,145,94.77124183006536,41,5,0,2,99.98509131569139,2,5.699429657830931,1.1646761226137756,31.45625885166881,4198.015166755296,0.32416925086564075,0.22936702774775355,1.2967518922197951
phase,withdrawal,psi0_nominal,0.0,B3,127,153,148,96.73202614379085,14109,13415,95.08115387341414,145,94.77124183006536,41,5,0,4,99.97018263138278,4,5.953701746656313,1.2046189117225123,41.560085287021245,6120.396248976742,0.3183247227010058,0.22899200750753884,1.2958704989985383
phase,withdrawal,psi0_nominal,0.0,StrongLocal,127,153,148,96.73202614379085,14109,13414,95.07406619888015,145,94.77124183006536,42,5,0,3,99.97763530639631,4,5.90956262334527,1.1994199084960513,41.22525361084592,6155.250074551485,0.32802147325040654,0.22940218655838976,1.2956874361139987
phase,withdrawal,psi0_nominal,0.0,H_star,127,153,148,96.73202614379085,14109,13413,95.06697852434617,145,94.77124183006536,43,5,0,3,99.97763363900694,3,6.010376134171934,1.2074816796577748,49.01950985355003,7643.25444116244,0.32807785742669365,0.22935284195639832,1.2964266532008168
phase,withdrawal,psi0_nominal,0.0,RobotSmooth,127,153,148,96.73202614379085,14109,13456,95.37174852930754,148,96.73202614379085,0,5,0,0,100.0,2,5.895537057928436,1.2002104545113068,40.97408649928002,5985.1497432659735,0.26913666295341815,0.2270009069626695,1.2977074244135576
phase,withdrawal,psi0_plus_025,0.25,HumanGT,127,153,148,96.73202614379085,14109,13164,93.30214756538379,138,90.19607843137256,292,5,0,14,99.89364934670313,14,5.345999444784799,1.1069610565776944,30.93231995380135,4194.1408428445175,0.26088949208663015,0.2211099958057985,1.31959724217035
phase,withdrawal,psi0_plus_025,0.25,B0,127,153,148,96.73202614379085,14109,13064,92.59338011198525,134,87.58169934640523,392,5,0,36,99.72443355786895,42,5.546801978433729,1.1833386472921021,28.844394771040033,3791.8577872974142,0.17008800438623384,0.2191830008133971,1.3145068927557508
phase,withdrawal,psi0_plus_025,0.25,B2,127,153,148,96.73202614379085,14109,13337,94.52831525976327,140,91.50326797385621,119,5,0,13,99.90252680512859,13,5.363393067606378,1.0939663715872405,29.12868955688109,3845.1322319143455,0.2297433052113111,0.22072712239352693,1.3168342012300944
phase,withdrawal,psi0_plus_025,0.25,B3,127,153,148,96.73202614379085,14109,13314,94.36529874548161,140,91.50326797385621,142,5,0,16,99.87982574733364,18,5.59003109093687,1.133618807225517,38.60489676782473,5664.71909391764,0.2256845149227542,0.22053402475341197,1.3168467664149766
phase,withdrawal,psi0_plus_025,0.25,StrongLocal,127,153,148,96.73202614379085,14109,13341,94.55666595789921,141,92.15686274509804,115,5,0,11,99.91754741023911,12,5.548243571276504,1.1245675436899678,37.873540714090616,5618.231874249341,0.23530075873758546,0.22084811798677864,1.3173530527236101
phase,withdrawal,psi0_plus_025,0.25,H_star,127,153,148,96.73202614379085,14109,13297,94.24480827840385,140,91.50326797385621,159,5,0,15,99.88719259983455,16,5.630576838901521,1.1370480380019874,45.53013156024504,7068.127609167474,0.2353033857425566,0.2208175706812352,1.3174520318394296
phase,withdrawal,psi0_plus_025,0.25,RobotSmooth,127,153,148,96.73202614379085,14109,13456,95.37174852930754,148,96.73202614379085,0,5,0,0,100.0,4,5.6789978853894,1.1492400073104097,47.02640077280889,7214.967963077585,0.1861747016432705,0.2192429633005033,1.3136423652555262
