row_scope,record_id,parent_bite_id,take,phase,condition,offset_rad,strategy,source_runs,initial_success_runs,source_frames,success_frames,complete_success_runs,JOINT_LIMIT,NO_VALID_BRANCH,other_failure_frames,violations,branch_changes,travel,rms_velocity,rms_acceleration,rms_jerk,min_margin,min_jp_sigma,min_jr_sigma,clean_frames,clean_intervals,travel_edges,velocity_frames,acceleration_frames,jerk_frames,comparison,strategy_a,strategy_b,pair_common_success_frames,pair_clean_frames,pair_clean_intervals,triple_common_success_frames,a_violations,b_violations,a_travel,b_travel,difference_travel_a_minus_b,a_rms_velocity,b_rms_velocity,difference_rms_velocity_a_minus_b,a_rms_acceleration,b_rms_acceleration,difference_rms_acceleration_a_minus_b,a_rms_jerk,b_rms_jerk,difference_rms_jerk_a_minus_b,a_min_margin,b_min_margin,difference_min_margin_a_minus_b,a_min_jp_sigma,b_min_jp_sigma,difference_min_jp_sigma_a_minus_b,a_min_jr_sigma,b_min_jr_sigma,difference_min_jr_sigma_a_minus_b,a_psi_mae_to_humangt,b_psi_mae_to_humangt,difference_psi_mae_a_minus_b,a_elbow_mean_to_humangt,b_elbow_mean_to_humangt,difference_elbow_mean_a_minus_b,difference_violations_a_minus_b
primary_pair,trial_0019_bite_020_withdrawal,trial_0019_bite_020,trial_0019,withdrawal,psi0_minus_025,-0.25,,,,,,,,,,,,,,,,,,,,,,,,,StrongLocal-B2,StrongLocal,B2,135.0,135.0,134.0,135.0,0.0,0.0,7.96319689563663,7.840837836074705,0.12235905956192461,1.1696324923469326,1.1602058176103993,0.009426674736533247,42.23811565934971,35.142388781307,7.095726878042711,6618.31960406031,5260.541763592471,1357.7778404678384,0.2717928637880431,0.2776499070356029,-0.005857043247559757,0.25978313126481356,0.26012066192159167,-0.0003375306567781067,1.2559972939064872,1.258783882157063,-0.002786588250575761,0.04331815885701785,0.04152305232722387,0.0017951065297939772,0.013832768597236197,0.01329117341097415,0.0005415951862620463,0.0
primary_pair,trial_0019_bite_020_withdrawal,trial_0019_bite_020,trial_0019,withdrawal,psi0_minus_025,-0.25,,,,,,,,,,,,,,,,,,,,,,,,,StrongLocal-B3,StrongLocal,B3,135.0,135.0,134.0,135.0,0.0,0.0,7.96319689563663,8.035375834185752,-0.07217893854912205,1.1696324923469326,1.1787555356433728,-0.009123043296440203,42.23811565934971,45.38640568242898,-3.1482900230792694,6618.31960406031,7076.864496014766,-458.54489195445603,0.2717928637880431,0.2735047906020127,-0.0017119268139695887,0.25978313126481356,0.2598817960765489,-9.866481173531616e-05,1.2559972939064872,1.2542989316775708,0.0016983622289163947,0.04331815885701785,0.04083306194634987,0.0024850969106679777,0.013832768597236197,0.013057970479903043,0.0007747981173331538,0.0
primary_pair,trial_0019_bite_020_withdrawal,trial_0019_bite_020,trial_0019,withdrawal,psi0_minus_025,-0.25,,,,,,,,,,,,,,,,,,,,,,,,,StrongLocal-RobotSmooth,StrongLocal,RobotSmooth,135.0,135.0,134.0,135.0,0.0,0.0,7.96319689563663,7.830455988387787,0.13274090724884235,1.1696324923469326,1.1411753730128342,0.028457119334098335,42.23811565934971,34.25761591290836,7.980499746441346,6618.31960406031,5117.819723918589,1500.4998801417205,0.2717928637880431,0.18291466075063822,0.0888782030374049,0.25978313126481356,0.25468853497199273,0.00509459629282083,1.2559972939064872,1.278897323999168,-0.022900030092680712,0.04331815885701785,0.11560340093096563,-0.07228524207394779,0.013832768597236197,0.037016283868794624,-0.023183515271558427,0.0
primary_pair,trial_0019_bite_020_withdrawal,trial_0019_bite_020,trial_0019,withdrawal,psi0_minus_025,-0.25,,,,,,,,,,,,,,,,,,,,,,,,,HumanGT-RobotSmooth,HumanGT,RobotSmooth,135.0,135.0,134.0,135.0,0.0,0.0,7.69366885071369,7.830455988387787,-0.136787137674097,1.147570430347495,1.1411753730128342,0.006395057334660725,36.50414120560172,34.25761591290836,2.246525292693356,5465.468293168258,5117.819723918589,347.648569249669,0.28381527727876077,0.18291466075063822,0.10090061652812254,0.26047581336592934,0.25468853497199273,0.005787278393936612,1.2252485387467704,1.278897323999168,-0.05364878525239747,0.0,0.11560340093096563,-0.11560340093096563,0.0,0.037016283868794624,-0.037016283868794624,0.0
primary_pair,trial_0019_bite_020_withdrawal,trial_0019_bite_020,trial_0019,withdrawal,psi0_nominal,0.0,,,,,,,,,,,,,,,,,,,,,,,,,StrongLocal-B2,StrongLocal,B2,135.0,135.0,134.0,135.0,0.0,0.0,7.182305726558413,7.073402684803288,0.10890304175512533,1.0542153831552403,1.0463991675709439,0.00781621558429646,36.15197734049077,29.20964595371082,6.942331386779948,5690.096338777977,4339.281500268633,1350.8148385093436,0.1843628338504999,0.1886294641937427,-0.0042666303432428165,0.25264911110470617,0.25283779091571124,-0.0001886798110050658,1.2716394233821693,1.2714877743718798,0.00015164901028952293,0.04331815885701785,0.04152305232722387,0.0017951065297939772,0.013987042790591833,0.013428192635257307,0.0005588501553345261,0.0
primary_pair,trial_0019_bite_020_withdrawal,trial_0019_bite_020,trial_0019,withdrawal,psi0_nominal,0.0,,,,,,,,,,,,,,,,,,,,,,,,,StrongLocal-B3,StrongLocal,B3,135.0,135.0,134.0,135.0,0.0,0.0,7.182305726558413,7.270557665325509,-0.0882519387670957,1.0542153831552403,1.06402983183902,-0.009814448683779675,36.15197734049077,39.848367288541695,-3.6963899480509284,5690.096338777977,6251.02961413202,-560.933275354043,0.1843628338504999,0.18560439666562445,-0.0012415628151245528,0.25264911110470617,0.2527037760497548,-5.466494504863251e-05,1.2716394233821693,1.2715922161350608,4.720724710849389e-05,0.04331815885701785,0.04083306194634987,0.0024850969106679777,0.013987042790591833,0.013210078736813175,0.0007769640537786584,0.0
primary_pair,trial_0019_bite_020_withdrawal,trial_0019_bite_020,trial_0019,withdrawal,psi0_nominal,0.0,,,,,,,,,,,,,,,,,,,,,,,,,StrongLocal-RobotSmooth,StrongLocal,RobotSmooth,135.0,135.0,134.0,135.0,0.0,0.0,7.182305726558413,7.105144392663225,0.0771613338951882,1.0542153831552403,1.0441628558285072,0.010052527326733118,36.15197734049077,28.565737185307253,7.586240155183514,5690.096338777977,4230.6910522302305,1459.405286547746,0.1843628338504999,0.12899422673605443,0.05536860711444547,0.25264911110470617,0.25051861502951106,0.0021304960751951096,1.2716394233821693,1.2774420342244839,-0.005802610842314593,0.04331815885701785,0.11560340093096563,-0.07228524207394779,0.013987042790591833,0.037569849449162696,-0.023582806658570862,0.0
primary_pair,trial_0019_bite_020_withdrawal,trial_0019_bite_020,trial_0019,withdrawal,psi0_nominal,0.0,,,,,,,,,,,,,,,,,,,,,,,,,HumanGT-RobotSmooth,HumanGT,RobotSmooth,135.0,135.0,134.0,135.0,0.0,0.0,6.994742649576687,7.105144392663225,-0.11040174308653761,1.0373739042689973,1.0441628558285072,-0.00678895155950987,30.510733844192085,28.565737185307253,1.9449966588848326,4574.971003196914,4230.6910522302305,344.2799509666838,0.19317648819546118,0.12899422673605443,0.06418226145940675,0.25304132825356473,0.25051861502951106,0.0025227132240536743,1.2713583131522066,1.2774420342244839,-0.006083721072277282,0.0,0.11560340093096563,-0.11560340093096563,0.0,0.037569849449162696,-0.037569849449162696,0.0
primary_pair,trial_0019_bite_020_withdrawal,trial_0019_bite_020,trial_0019,withdrawal,psi0_plus_025,0.25,,,,,,,,,,,,,,,,,,,,,,,,,StrongLocal-B2,StrongLocal,B2,135.0,135.0,134.0,135.0,0.0,0.0,6.518781161519444,6.3969697572406,0.1218114042788434,0.9723920543726451,0.9638020078708829,0.008590046501762205,32.563767148581526,25.618549496140073,6.945217652441453,5135.031461133212,3761.851714234577,1373.1797468986356,0.13065459223723797,0.13279583215264723,-0.0021412399154092654,0.2505365856249663,0.25060206549230335,-6.547986733707045e-05,1.2770881485536973,1.2766608187704902,0.0004273297832071421,0.04331815885701785,0.04152305232722387,0.0017951065297939772,0.014015261101609854,0.013438037819724396,0.0005772232818854577,0.0
primary_pair,trial_0019_bite_020_withdrawal,trial_0019_bite_020,trial_0019,withdrawal,psi0_plus_025,0.25,,,,,,,,,,,,,,,,,,,,,,,,,StrongLocal-B3,StrongLocal,B3,135.0,135.0,134.0,135.0,0.0,0.0,6.518781161519444,6.6141212561252205,-0.09534009460577675,0.9723920543726451,0.9822583603088914,-0.009866305936246267,32.563767148581526,36.472892385071155,-3.909125236489629,5135.031461133212,5738.457027356934,-603.425566223722,0.13065459223723797,0.1312688287017063,-0.0006142364644683429,0.2505365856249663,0.2505551051708419,-1.8519545875617105e-05,1.2770881485536973,1.2769616540628448,0.00012649449085255782,0.04331815885701785,0.04083306194634987,0.0024850969106679777,0.014015261101609854,0.013243056998764734,0.0007722041028451199,0.0
primary_pair,trial_0019_bite_020_withdrawal,trial_0019_bite_020,trial_0019,withdrawal,psi0_plus_025,0.25,,,,,,,,,,,,,,,,,,,,,,,,,StrongLocal-RobotSmooth,StrongLocal,RobotSmooth,135.0,135.0,134.0,135.0,0.0,0.0,6.518781161519444,6.509451352815497,0.009329808703946618,0.9723920543726451,0.9867999694165219,-0.01440791504387684,32.563767148581526,25.278171670095716,7.28559547848581,5135.031461133212,3702.2821738219495,1432.7492873112628,0.13065459223723797,0.11713102760051997,0.013523564636718,0.2505365856249663,0.25034716057735656,0.0001894250476097148,1.2770881485536973,1.286309165793644,-0.009221017239946727,0.04331815885701785,0.11560340093096563,-0.07228524207394779,0.014015261101609854,0.037772041484470484,-0.02375678038286063,0.0
