comparison,condition,phase,metric,difference_a_minus_b,ci_low,ci_high,support_bites,status
StrongLocal-B2,psi0_minus_025,transfer,rms_velocity,0.02259698183175248,0.0007446361966566565,0.04212052465606943,125,OK
StrongLocal-B2,psi0_minus_025,transfer,min_margin,0.00036279429394047824,-0.000995739356808332,0.001662749350033946,125,OK
StrongLocal-B2,psi0_minus_025,transfer,violations,0.015748031496062992,-0.015748031496062992,0.047244094488188976,127,OK
StrongLocal-B2,psi0_minus_025,withdrawal,psi_mae,-0.002979812217930941,-0.006466401131224676,0.0006158129544268127,122,OK
StrongLocal-B2,psi0_minus_025,withdrawal,elbow_mean,-0.0008051579362952063,-0.0018251127001693256,0.000252746550209777,122,OK
StrongLocal-B2,psi0_minus_025,withdrawal,travel,0.23702107856676416,0.20029393428427972,0.2749135047554105,127,OK
StrongLocal-B2,psi0_minus_025,withdrawal,rms_velocity,0.04093888470537178,0.034477527937285986,0.048124263165095583,122,OK
StrongLocal-B2,psi0_minus_025,withdrawal,min_margin,-0.00021058105807072785,-0.0028066661055585976,0.0025020951895891245,122,OK
StrongLocal-B2,psi0_minus_025,withdrawal,violations,0.11023622047244094,-0.023622047244094488,0.2677165354330709,127,OK
StrongLocal-B2,psi0_nominal,overall,psi_mae,0.0009429750374514094,-0.0013911947535221855,0.003353884405915205,127,OK
StrongLocal-B2,psi0_nominal,overall,elbow_mean,7.82354589725621e-06,-0.000623638498240923,0.0006292039262764945,127,OK
StrongLocal-B2,psi0_nominal,overall,travel,0.18510971385062158,0.16346671832044585,0.20758586947609708,127,OK
StrongLocal-B2,psi0_nominal,overall,rms_velocity,0.026008562115587802,0.015860368674990213,0.037235075614146455,127,OK
StrongLocal-B2,psi0_nominal,overall,min_margin,0.000890045645247244,-0.000776257020356181,0.0026556899251276443,127,OK
StrongLocal-B2,psi0_nominal,overall,violations,0.011811023622047244,-0.007874015748031496,0.03543307086614173,127,OK
StrongLocal-B2,psi0_nominal,transfer,psi_mae,0.003638351373083432,0.0009549946517234137,0.006449018499771452,125,OK
StrongLocal-B2,psi0_nominal,transfer,elbow_mean,0.0005379631813583356,-8.003581288846539e-05,0.0011677311309677123,125,OK
StrongLocal-B2,psi0_nominal,transfer,travel,0.15954071070397272,0.13469060174650377,0.1847548822208791,127,OK
StrongLocal-B2,psi0_nominal,transfer,rms_velocity,0.012957137102303054,-0.004031246701216733,0.03049236209054874,125,OK
StrongLocal-B2,psi0_nominal,transfer,min_margin,-0.0017759905724639537,-0.003631432674498273,0.00011102539839294902,125,OK
StrongLocal-B2,psi0_nominal,transfer,violations,0.015748031496062992,-0.023622047244094488,0.05511811023622047,127,OK
StrongLocal-B2,psi0_nominal,withdrawal,psi_mae,-0.002784445420295237,-0.006305480154315281,0.0008093239341185424,122,OK
StrongLocal-B2,psi0_nominal,withdrawal,elbow_mean,-0.0007194133405219038,-0.0017361524438878405,0.0003476367023513622,122,OK
StrongLocal-B2,psi0_nominal,withdrawal,travel,0.2106787169972705,0.1774187770327572,0.24569374412667286,127,OK
StrongLocal-B2,psi0_nominal,withdrawal,rms_velocity,0.034512585336232214,0.029612801840060377,0.03987239507859162,122,OK
StrongLocal-B2,psi0_nominal,withdrawal,min_margin,0.0037526889058647453,0.0006373819265220167,0.007007444100027153,122,OK
StrongLocal-B2,psi0_nominal,withdrawal,violations,0.007874015748031496,0.0,0.023622047244094488,127,OK
StrongLocal-B2,psi0_plus_025,overall,psi_mae,0.0008256758579005363,-0.0014460494549243064,0.003181906824033426,127,OK
StrongLocal-B2,psi0_plus_025,overall,elbow_mean,-3.0415871195549135e-05,-0.0006312905920672542,0.0005600790914691169,127,OK
StrongLocal-B2,psi0_plus_025,overall,travel,0.15146631119729748,0.13180644181493945,0.1719873399696938,127,OK
StrongLocal-B2,psi0_plus_025,overall,rms_velocity,0.021423222039896783,0.013072279590240859,0.03003697927269042,127,OK
StrongLocal-B2,psi0_plus_025,overall,min_margin,0.00023446931358428807,-0.0014373697168846829,0.0019486552385329988,127,OK
StrongLocal-B2,psi0_plus_025,overall,violations,0.0,-0.01968503937007874,0.01968503937007874,127,OK
StrongLocal-B2,psi0_plus_025,transfer,psi_mae,0.0037150008608010853,0.0009745447144445108,0.0065173355825360185,125,OK
StrongLocal-B2,psi0_plus_025,transfer,elbow_mean,0.0005342589952145617,-6.60654453871559e-05,0.0011398323030006585,125,OK
StrongLocal-B2,psi0_plus_025,transfer,travel,0.11954381433313874,0.09777255452738143,0.14085463765292056,127,OK
StrongLocal-B2,psi0_plus_025,transfer,rms_velocity,0.009636245011806103,-0.004696957231453666,0.022406190419213726,125,OK
StrongLocal-B2,psi0_plus_025,transfer,min_margin,-0.0048793987530842365,-0.00675648858727789,-0.0030639430325170693,125,OK
StrongLocal-B2,psi0_plus_025,transfer,violations,0.015748031496062992,-0.007874015748031496,0.047244094488188976,127,OK
StrongLocal-B2,psi0_plus_025,withdrawal,psi_mae,-0.003119837515294208,-0.006574277358701034,0.0003585695015214846,122,OK
StrongLocal-B2,psi0_plus_025,withdrawal,elbow_mean,-0.0007887258380538648,-0.0017758687257599843,0.00023214541625270432,122,OK
StrongLocal-B2,psi0_plus_025,withdrawal,travel,0.18338880806145616,0.1552045053205725,0.21365451051675824,127,OK
StrongLocal-B2,psi0_plus_025,withdrawal,rms_velocity,0.03084701286500173,0.02665277478990839,0.03540467391724945,122,OK
StrongLocal-B2,psi0_plus_025,withdrawal,min_margin,0.00574027698463161,0.0027753816169585705,0.008956623885408405,122,OK
StrongLocal-B2,psi0_plus_025,withdrawal,violations,-0.015748031496062992,-0.047244094488188976,0.015748031496062992,127,OK
StrongLocal-B3,psi0_minus_025,overall,psi_mae,0.001077383468070376,-0.0009017470517631418,0.002943988828344538,127,OK
StrongLocal-B3,psi0_minus_025,overall,elbow_mean,4.525156519037547e-05,-0.00045874227421630395,0.0005148603406433483,127,OK
StrongLocal-B3,psi0_minus_025,overall,travel,-0.01958220203126033,-0.045907716002393774,0.0071582310427971895,127,OK
StrongLocal-B3,psi0_minus_025,overall,rms_velocity,0.005682521446522952,-0.011369401811424918,0.02532748970730014,127,OK
StrongLocal-B3,psi0_minus_025,overall,min_margin,0.005064348626744504,0.004134231715795406,0.0060843619374388765,127,OK
