scope,grouping,group,strategy_a,strategy_b,reported_strategy,support_frames,support_runs,joint_step_support_values,total_wrapped_joint_travel_rad,max_wrapped_joint_step_rad,velocity_support_values,rms_joint_velocity_rad_s,max_joint_velocity_rad_s,acceleration_support_values,rms_joint_acceleration_rad_s2,max_joint_acceleration_rad_s2,jerk_support_values,rms_joint_jerk_rad_s3,max_joint_jerk_rad_s3,branch_changes,joint_limit_margin_support_frames,joint_limit_margin_rad_count,joint_limit_margin_rad_mean,joint_limit_margin_rad_median,joint_limit_margin_rad_p05,joint_limit_margin_rad_p95,joint_limit_margin_rad_min,joint_limit_margin_rad_max
pairwise_common_success,overall,overall,StrongLocal,H_star,StrongLocal,31172,292,216160,1452.6128038608504,3.138916123306218,216160,3.971463761469987,313.8916123306215,214179,521.5954386351355,61488.08209189291,212198,85025.05340549645,9236322.361698605,25,31172,31172,0.603182841566215,0.6390777397549668,0.22637255058150096,0.8858479166653089,0.0010663462958309111,1.0441464773029638
pairwise_common_success,overall,overall,StrongLocal,H_star,H_star,31172,292,216160,1473.9004122631864,3.140756721842512,216160,3.8229638741791634,314.07567218425095,214179,476.9363453693698,31530.431793876505,212198,73858.93207247299,6291959.051051004,26,31172,31172,0.6004235082008974,0.6323632166179867,0.22106851212164352,0.8878563004243634,0.0004203168319323325,1.0392683075140834
pairwise_common_success,overall,overall,StrongLocal,HumanGT,StrongLocal,31050,294,215292,1431.6536355312946,3.138916123306218,215292,3.8353767335013966,313.8916123306215,213297,508.6966872869086,61488.08209189291,211302,84045.66940158418,9236322.361698605,22,31050,31050,0.6049840365160066,0.6403112392838067,0.23273423805721155,0.8862021314030588,0.0010663462958309111,1.0441464773029638
pairwise_common_success,overall,overall,StrongLocal,HumanGT,HumanGT,31050,294,215292,1338.9896368994646,3.1178211268421117,215292,2.6884268931650688,311.7821126842109,213297,315.12716862654213,30961.772327267212,211302,46923.828426448425,6190247.9558288185,13,31050,31050,0.610866523774688,0.6455465991230044,0.2426042328407529,0.8955323125387349,0.001107492407420807,1.074710124975569
pairwise_common_success,overall,overall,H_star,HumanGT,H_star,31049,294,215285,1436.2781017431773,3.140756721842512,215285,3.4254310716378007,314.07567218425095,213290,440.1771788548793,31530.431793876505,211295,71173.39206587266,6291959.051051004,20,31049,31049,0.6022904048960304,0.6336512608420266,0.22868363324111662,0.888228339738778,0.0012467220398724166,1.0392683075140834
pairwise_common_success,overall,overall,H_star,HumanGT,HumanGT,31049,294,215285,1338.3090891534005,3.1178211268421117,215285,2.687197826465202,311.7821126842109,213290,315.0870701450364,30961.772327267212,211295,46922.90559366502,6190247.9558288185,13,31049,31049,0.6108777680417283,0.6455473650920496,0.24260185456628092,0.8955353498050083,0.001107492407420807,1.074710124975569
pairwise_common_success,phase,transfer,B0,B1,B0,17217,138,119553,552.2970853392566,2.384050087028924,119553,2.1399135268658873,238.40500870289216,118587,240.2203721792532,25080.075592323068,117621,32380.764364792933,3713502.074085569,11,17217,17217,0.6472076403207825,0.6773658793361221,0.31501788904778366,0.929620318610418,0.012142539252518958,1.0929380256907408
pairwise_common_success,phase,transfer,B0,B1,B1,17217,138,119553,559.6917722730468,3.14146119538727,119553,2.1596269241139,314.14611953872674,118587,292.3248712420512,31411.645251401085,117621,50748.61802850753,6278742.237358666,4,17217,17217,0.6676240339428511,0.700396382324957,0.32321010782264803,0.9510739760541189,0.05196911236276058,1.1160904325020313
pairwise_common_success,phase,transfer,B0,B2,B0,17182,138,119308,517.029941202258,1.386965143629082,119308,0.982078197567686,138.69651436290806,118342,106.53043322951899,14708.980386209983,117376,17372.58408801594,2822818.374878244,3,17182,17182,0.6480495256543963,0.6778132353126782,0.3171444286400147,0.9298407808142166,0.012142539252518958,1.0929380256907408
pairwise_common_success,phase,transfer,B0,B2,B2,17182,138,119308,554.4271513732458,2.4246051517420186,119308,3.0178334322701086,242.46051517420165,118342,355.2028765046951,25959.23597685856,117376,48627.023685729466,5107434.572414948,14,17182,17182,0.6088455213297447,0.6325893074152585,0.2931395289632257,0.8827469266259205,0.0011552091871527281,1.046267990964198
pairwise_common_success,phase,transfer,B0,B3,B0,17183,138,119315,517.5101220643717,1.386965143629082,119315,0.9852353682291201,138.69651436290806,118349,106.67548392513017,14708.980386209983,117383,17385.70301420467,2822818.374878244,3,17183,17183,0.6480217808853406,0.677811415424439,0.3171128599836016,0.9298353527093154,0.012142539252518958,1.0929380256907408
pairwise_common_success,phase,transfer,B0,B3,B3,17183,138,119315,571.9040947045888,2.515748268268933,119315,2.9487043949694343,251.57482682688752,118349,352.0180331824716,28316.171577960158,117383,48249.030476905304,5347730.328406878,15,17183,17183,0.6042144212507593,0.6271489218065607,0.28945645371000334,0.8738382888631846,0.0012046332676467486,1.0443771465693326
pairwise_common_success,phase,transfer,B0,StrongLocal,B0,17188,139,119343,523.1572822900272,2.0931566735542155,119343,1.3089641921804016,209.31566735542137,118370,142.24543533956827,22741.6577130539,117397,20902.598854030617,2822818.374878244,4,17188,17188,0.6479390566307425,0.6777927746310295,0.31705808908452354,0.9298082121848092,0.012142539252518958,1.0929380256907408
pairwise_common_success,phase,transfer,B0,StrongLocal,StrongLocal,17188,139,119343,580.5746009669431,2.5858362424578845,119343,3.1157774792756014,258.58362424578246,118370,359.2948001413344,28416.52899020319,117397,46687.267817449545,4512025.777879843,17,17188,17188,0.6098741493352793,0.6346862897043577,0.29223763810575065,0.8732416734329961,0.0010663462958309111,1.041864918860412
pairwise_common_success,phase,transfer,B0,H_star,B0,17184,139,119315,521.3804537105397,2.0931566735542155,119315,1.3011579358302743,209.31566735542137,118342,142.00788755905947,22741.6577130539,117369,20881.64614368725,2822818.374878244,4,17184,17184,0.6480128725335443,0.6778059247983204,0.31711403812016536,0.929829924604414,0.012142539252518958,1.0929380256907408
pairwise_common_success,phase,transfer,B0,H_star,H_star,17184,139,119315,584.353003565878,2.4273525439491572,119315,2.8319605130420293,242.7352543949155,118342,323.8986610307241,25956.8210709297,117369,42943.711194006384,4357531.306062911,15,17184,17184,0.6066198079313668,0.6283128752467737,0.2874481268898104,0.8785051079160215,0.0012467220398724166,1.0392683075140834
pairwise_common_success,phase,transfer,B0,HumanGT,B0,17180,139,119287,520.8213929201389,2.0931566735542155,119287,1.302349628409344,209.31566735542137,118321,129.18821935916458,22741.6577130539,117355,16339.310454963832,2373242.7479397585,3,17180,17180,0.6480257514953531,0.6778436155408345,0.31710975556089793,0.9298588881014627,0.012142539252518958,1.0929380256907408
pairwise_common_success,phase,transfer,B0,HumanGT,HumanGT,17180,139,119287,545.524313008382,2.5733864673901246,119287,2.8593624841206338,257.33864673901223,118321,328.76395293792876,29185.06316374048,117355,42486.25957989445,4189540.107468547,12,17180,17180,0.6043610199208767,0.6249686814538236,0.2899961756309242,0.8681334464680714,0.011161271262137618,1.062241049116233
pairwise_common_success,phase,transfer,B1,B2,B1,17182,138,119308,553.064344420386,3.14146119538727,119308,2.1479164494320937,314.14611953872674,118342,291.9592699455129,31411.645251401085,117376,50701.06788261511,6278742.237358666,3,17182,17182,0.6684461618408977,0.7012365493350917,0.326457919089329,0.9516158384431306,0.05196911236276058,1.1160904325020313
pairwise_common_success,phase,transfer,B1,B2,B2,17182,138,119308,554.4271513732458,2.4246051517420186,119308,3.0178334322701086,242.46051517420165,118342,355.2028765046951,25959.23597685856,117376,48627.023685729466,5107434.572414948,14,17182,17182,0.6088455213297447,0.6325893074152585,0.2931395289632257,0.8827469266259205,0.0011552091871527281,1.046267990964198
pairwise_common_success,phase,transfer,B1,B3,B1,17183,138,119315,553.2869459983342,3.14146119538727,119315,2.148078449592243,314.14611953872674,118349,291.9578242228592,31411.645251401085,117383,50700.4515386611,6278742.237358666,3,17183,17183,0.6684182372132501,0.7012229296735164,0.3263155628476421,0.9516055962196733,0.05196911236276058,1.1160904325020313
pairwise_common_success,phase,transfer,B1,B3,B3,17183,138,119315,571.9040947045888,2.515748268268933,119315,2.9487043949694343,251.57482682688752,118349,352.0180331824716,28316.171577960158,117383,48249.030476905304,5347730.328406878,15,17183,17183,0.6042144212507593,0.6271489218065607,0.28945645371000334,0.8738382888631846,0.0012046332676467486,1.0443771465693326
pairwise_common_success,phase,transfer,B1,StrongLocal,B1,17188,139,119343,554.0655391749525,3.14146119538727,119343,2.148780059963305,314.14611953872674,118370,291.950355827167,31411.645251401085,117397,50699.43692043736,6278742.237358666,4,17188,17188,0.6683382415553958,0.70113236813345,0.32622424199623995,0.9515543851023865,0.05196911236276058,1.1160904325020313
pairwise_common_success,phase,transfer,B1,StrongLocal,StrongLocal,17188,139,119343,580.5746009669431,2.5858362424578845,119343,3.1157774792756014,258.58362424578246,118370,359.2948001413344,28416.52899020319,117397,46687.267817449545,4512025.777879843,17,17188,17188,0.6098741493352793,0.6346862897043577,0.29223763810575065,0.8732416734329961,0.0010663462958309111,1.041864918860412
pairwise_common_success,phase,transfer,B1,H_star,B1,17184,139,119315,553.122989353882,3.14146119538727,119315,2.1477591424493596,314.14611953872674,118342,291.9599985644016,31411.645251401085,117369,50703.856045309665,6278742.237358666,4,17184,17184,0.6684103610002631,0.701195424649652,0.3263233271578168,0.9515953539962158,0.05196911236276058,1.1160904325020313
pairwise_common_success,phase,transfer,B1,H_star,H_star,17184,139,119315,584.353003565878,2.4273525439491572,119315,2.8319605130420293,242.7352543949155,118342,323.8986610307241,25956.8210709297,117369,42943.711194006384,4357531.306062911,15,17184,17184,0.6066198079313668,0.6283128752467737,0.2874481268898104,0.8785051079160215,0.0012467220398724166,1.0392683075140834
pairwise_common_success,phase,transfer,B1,HumanGT,B1,17180,139,119287,552.7562027611685,3.14146119538727,119287,2.1478837329139275,314.14611953872674,118321,292.29994671095,31411.645251401085,117355,50766.187378184644,6278742.237358666,2,17180,17180,0.6684215371209719,0.7012825686321316,0.32629758036121614,0.9516263111117023,0.05196911236276058,1.1160904325020313
pairwise_common_success,phase,transfer,B1,HumanGT,HumanGT,17180,139,119287,545.524313008382,2.5733864673901246,119287,2.8593624841206338,257.33864673901223,118321,328.76395293792876,29185.06316374048,117355,42486.25957989445,4189540.107468547,12,17180,17180,0.6043610199208767,0.6249686814538236,0.2899961756309242,0.8681334464680714,0.011161271262137618,1.062241049116233
pairwise_common_success,phase,transfer,B2,B3,B2,17182,138,119308,554.4271513732458,2.4246051517420186,119308,3.0178334322701086,242.46051517420165,118342,355.2028765046951,25959.23597685856,117376,48627.023685729466,5107434.572414948,14,17182,17182,0.6088455213297447,0.6325893074152585,0.2931395289632257,0.8827469266259205,0.0011552091871527281,1.046267990964198
pairwise_common_success,phase,transfer,B2,B3,B3,17182,138,119308,567.9905742768759,2.515748268268933,119308,2.8680777757927065,251.57482682688752,118342,344.15017398403205,28316.171577960158,117376,47677.70852332758,5347730.328406878,14,17182,17182,0.6042456968144968,0.6271844281472926,0.28952161830256573,0.8738462771288662,0.0012046332676467486,1.0443771465693326
pairwise_common_success,phase,transfer,B2,StrongLocal,B2,17180,139,119287,543.9621003281054,2.4246051517420186,119287,2.736076959763946,242.46051517420165,118314,308.35426633666503,25959.23597685856,117341,39668.31592307883,4539757.964363674,12,17180,17180,0.6089030695650469,0.6326041256401979,0.2933120501457492,0.8827578580501858,0.0011552091871527281,1.046267990964198
pairwise_common_success,phase,transfer,B2,StrongLocal,StrongLocal,17180,139,119287,555.3371706341392,2.261786678505834,119287,2.383048966834277,226.1786678505832,118314,262.92897214069285,24333.05476749544,117341,32848.86481702246,2567447.110320781,12,17180,17180,0.6100512298452391,0.6348848894893756,0.2926398567108973,0.8732559365152646,0.0010663462958309111,1.041864918860412
pairwise_common_success,phase,transfer,B2,H_star,B2,17179,139,119280,539.8499636867208,2.4246051517420186,119280,2.641874159503411,242.46051517420165,118307,298.2859676208003,25959.23597685856,117334,38810.46363904609,4539757.964363674,11,17179,17179,0.6089294500699896,0.6326057504720453,0.29337944178756964,0.8827636294487596,0.0011552091871527281,1.046267990964198
pairwise_common_success,phase,transfer,B2,H_star,H_star,17179,139,119280,574.4703693942677,2.4273525439491572,119280,2.6045324834818486,242.7352543949155,118307,300.53458032924016,25956.8210709297,117334,39618.83893280262,4357531.306062911,13,17179,17179,0.6067302569686998,0.6284912139407648,0.2876944347868495,0.878521082274355,0.0012467220398724166,1.0392683075140834
pairwise_common_success,phase,transfer,B2,HumanGT,B2,17171,138,119231,523.3258211618685,2.2739370553168894,119231,2.091586284651274,227.39370553168874,118265,260.0584941985121,25553.650480724224,117299,41058.68621699881,5107434.572414948,8,17171,17171,0.6090610853309509,0.6327367354626396,0.29396945266059704,0.8828098006373506,0.0011552091871527281,1.046267990964198
pairwise_common_success,phase,transfer,B2,HumanGT,HumanGT,17171,138,119231,532.1349284812155,2.5733864673901246,119231,2.633324886567598,257.33864673901223,118265,300.29923645424213,29185.06316374048,117299,37454.915958831225,4189540.107468547,8,17171,17171,0.604595613033277,0.6251040322764041,0.2905986287077269,0.868184861091293,0.011161271262137618,1.062241049116233
pairwise_common_success,phase,transfer,B3,StrongLocal,B3,17181,139,119294,562.3168776975565,2.515748268268933,119294,2.707869347061389,251.57482682688752,118321,315.98557844398147,28316.171577960158,117348,41943.083601179824,5347730.328406878,13,17181,17181,0.6042717118048336,0.6272199344880245,0.2897364979252486,0.873854265394548,0.0012046332676467486,1.0443771465693326
pairwise_common_success,phase,transfer,B3,StrongLocal,StrongLocal,17181,139,119294,559.0062075676748,2.261786678505834,119294,2.4650268439978147,226.1786678505832,118321,271.72700996993643,24333.05476749544,117348,33576.472838657806,2567447.110320781,13,17181,17181,0.6100195585750151,0.634791937105937,0.2926159776934396,0.8732558100829952,0.0010663462958309111,1.041864918860412
pairwise_common_success,phase,transfer,B3,H_star,B3,17180,139,119287,558.4830387020154,2.515748268268933,119287,2.6288872610599587,251.57482682688752,118314,307.872644627666,28316.171577960158,117341,41272.18436346761,5347730.328406878,12,17180,17180,0.6042979058931107,0.6272358599930237,0.28977941244124755,0.8738583099531642,0.0012046332676467486,1.0443771465693326
