record_id,parent_bite_id,take,phase,run_id,strategy,source_frames,SUCCESS_EXACT,success_percent,first_psi0_rad,first_raw_prediction_correction_abs_rad,first_target_position_equal,first_target_rotation_equal,first_target_psi_equal,first_status_equal,support_frames,support_runs,joint_step_support_values,total_wrapped_joint_travel_rad,max_wrapped_joint_step_rad,velocity_support_values,rms_joint_velocity_rad_s,max_joint_velocity_rad_s,acceleration_support_values,rms_joint_acceleration_rad_s2,max_joint_acceleration_rad_s2,jerk_support_values,rms_joint_jerk_rad_s3,max_joint_jerk_rad_s3,branch_changes,joint_limit_margin_support_frames,joint_limit_margin_rad_count,joint_limit_margin_rad_mean,joint_limit_margin_rad_median,joint_limit_margin_rad_p05,joint_limit_margin_rad_p95,joint_limit_margin_rad_min,joint_limit_margin_rad_max
trial_0014_bite_011_transfer,trial_0014_bite_011,trial_0014,transfer,0,H_star,131,131,100.0,-3.087272372347122,0.0029458304109630795,True,True,True,True,131,1,910,3.6062516937299582,0.031424692935714926,910,0.5330613997957389,3.14246929357149,903,40.10509707451519,349.2884939386569,896,7219.851960743644,63102.7489110399,0,131,131,0.8595241143161647,0.8918654220018434,0.7298306503860563,0.9719831540116055,0.7276281376117311,0.9827155029543864
trial_0014_bite_011_transfer,trial_0014_bite_011,trial_0014,transfer,0,HumanGT,131,131,100.0,-3.087272372347122,0.0,True,True,True,True,131,1,910,3.0995709894338033,0.014341181009783988,910,0.44309552975878064,1.4341181009783974,903,19.063306187095936,113.34314393849336,896,3127.7653093928398,22288.75670229219,0,131,131,0.8266032216587316,0.8751070354702479,0.6768098106269673,0.924965718378186,0.6758301633634396,0.9356617968504553
trial_0014_bite_011_withdrawal,trial_0014_bite_011,trial_0014,withdrawal,0,B0,81,81,100.0,-2.7749759079555245,0.0,True,True,True,True,81,1,560,5.506823159117145,0.04306669939052732,560,1.2975833154263365,4.306669939052728,553,23.833336175759236,107.40196448368856,546,3293.7631113984794,17646.726767697142,0,81,81,0.6184935772783139,0.603170816697697,0.29433756317151527,0.8703380077100586,0.2671143499392148,0.9179701761082351
trial_0014_bite_011_withdrawal,trial_0014_bite_011,trial_0014,withdrawal,0,B1,81,81,100.0,-2.7749759079555245,0.07049917269506256,True,True,True,True,81,1,560,5.379275999304065,0.045297706241436586,560,1.2918711893879034,4.529770624143654,553,24.799337390568855,107.18952643367511,546,3407.911115184707,18120.331058452743,0,81,81,0.6387212328750328,0.6019394261776143,0.37093264228842227,0.887500882545714,0.34271489754916207,0.9206472525191964
trial_0014_bite_011_withdrawal,trial_0014_bite_011,trial_0014,withdrawal,0,B2,81,81,100.0,-2.7749759079555245,0.007971347858301225,True,True,True,True,81,1,560,5.240086798720688,0.042480302702850636,560,1.2343716654750332,4.24803027028506,553,25.51249408860346,107.61301765454846,546,3503.3771627180695,18810.11846512676,0,81,81,0.6556879097562739,0.6016213335688954,0.4984214808444172,0.8717813680295166,0.46711298126429934,0.9195228936074584
trial_0014_bite_011_withdrawal,trial_0014_bite_011,trial_0014,withdrawal,0,B3,81,81,100.0,-2.7749759079555245,0.008638470242128271,True,True,True,True,81,1,560,5.337703465549103,0.0415077626719782,560,1.2546083220772275,4.150776267197816,553,32.72769086052054,144.174735225375,546,4930.4115917677245,22072.65029214905,0,81,81,0.6544125766276315,0.6009879667957132,0.5080372424328257,0.8671826798937858,0.47232820236631134,0.9179937889535168
trial_0014_bite_011_withdrawal,trial_0014_bite_011,trial_0014,withdrawal,0,StrongLocal,81,81,100.0,-2.7749759079555245,0.0008471054967711389,True,True,True,True,81,1,560,5.429730473338113,0.04300421414556687,560,1.2730703212126762,4.300421414556683,553,37.047677204218154,170.1001179118397,546,5803.181790626121,26416.92623325291,0,81,81,0.658590266640794,0.6008803521856083,0.5279946320961861,0.8767938179538168,0.5016244162252654,0.9192867684199579
trial_0014_bite_011_withdrawal,trial_0014_bite_011,trial_0014,withdrawal,0,H_star,81,81,100.0,-2.7749759079555245,0.007469975294862152,True,True,True,True,81,1,560,5.3964569832215705,0.041585233043488934,560,1.265348764417792,4.15852330434889,553,43.19402390150947,197.81160761485958,546,6990.435037027207,32304.754408077268,0,81,81,0.6568371714550582,0.6008658451418083,0.5269677953127241,0.8689259191620167,0.4986026364493279,0.9191683807746962
trial_0014_bite_011_withdrawal,trial_0014_bite_011,trial_0014,withdrawal,0,HumanGT,81,81,100.0,-2.7749759079555245,0.0,True,True,True,True,81,1,560,5.248348654659173,0.043221501064404144,560,1.2507387408766422,4.322150106440411,553,27.408429668712998,112.13433114580765,546,3806.31638061406,18574.194935029493,0,81,81,0.6596313268527177,0.600254467095469,0.535064631307518,0.8768547403613312,0.527901283761532,0.919215632902668
trial_0014_bite_012_transfer,trial_0014_bite_012,trial_0014,transfer,0,B0,103,103,100.0,3.001398116734949,0.0,True,True,True,True,103,1,714,3.905850604912808,0.020593338058988664,714,0.6938946103716889,2.0593338058988646,707,13.84168181514262,66.67665498240704,700,2129.3913836352704,10686.507376680836,0,103,103,0.9187361308095136,0.9190840597248444,0.7723992923783924,1.078498219524292,0.7675988841354968,1.0885489686966032
