record_id,parent_bite_id,take,phase,generated_duration_s,gt_duration_s,duration_error_s,absolute_duration_error_s
trial_0014_bite_011_transfer,trial_0014_bite_011,trial_0014,transfer,1.48,1.3,0.17999999999999994,0.17999999999999994
trial_0014_bite_011_withdrawal,trial_0014_bite_011,trial_0014,withdrawal,1.11,0.8,0.31000000000000005,0.31000000000000005
trial_0014_bite_012_transfer,trial_0014_bite_012,trial_0014,transfer,1.48,1.02,0.45999999999999996,0.45999999999999996
trial_0014_bite_012_withdrawal,trial_0014_bite_012,trial_0014,withdrawal,1.11,1.03,0.08000000000000007,0.08000000000000007
trial_0014_bite_013_transfer,trial_0014_bite_013,trial_0014,transfer,1.48,1.07,0.4099999999999999,0.4099999999999999
trial_0014_bite_013_withdrawal,trial_0014_bite_013,trial_0014,withdrawal,1.11,1.14,-0.029999999999999805,0.029999999999999805
trial_0014_bite_014_transfer,trial_0014_bite_014,trial_0014,transfer,1.48,1.28,0.19999999999999996,0.19999999999999996
trial_0014_bite_014_withdrawal,trial_0014_bite_014,trial_0014,withdrawal,1.11,1.05,0.06000000000000005,0.06000000000000005
trial_0014_bite_015_transfer,trial_0014_bite_015,trial_0014,transfer,1.48,1.29,0.18999999999999995,0.18999999999999995
trial_0014_bite_015_withdrawal,trial_0014_bite_015,trial_0014,withdrawal,1.11,1.05,0.06000000000000005,0.06000000000000005
trial_0014_bite_016_transfer,trial_0014_bite_016,trial_0014,transfer,1.48,1.36,0.11999999999999988,0.11999999999999988
trial_0014_bite_016_withdrawal,trial_0014_bite_016,trial_0014,withdrawal,1.11,0.93,0.18000000000000005,0.18000000000000005
trial_0014_bite_017_transfer,trial_0014_bite_017,trial_0014,transfer,1.48,1.2,0.28,0.28
trial_0014_bite_017_withdrawal,trial_0014_bite_017,trial_0014,withdrawal,1.11,0.98,0.13000000000000012,0.13000000000000012
trial_0014_bite_018_transfer,trial_0014_bite_018,trial_0014,transfer,1.48,1.55,-0.07000000000000006,0.07000000000000006
trial_0014_bite_018_withdrawal,trial_0014_bite_018,trial_0014,withdrawal,1.11,0.85,0.2600000000000001,0.2600000000000001
trial_0014_bite_019_transfer,trial_0014_bite_019,trial_0014,transfer,1.48,1.26,0.21999999999999997,0.21999999999999997
