record_id,parent_bite_id,take,phase,usable,exclusion_reason,initial_tool_position_B_x,initial_tool_position_B_y,initial_tool_position_B_z,initial_tool_rotation_rotvec_x,initial_tool_rotation_rotvec_y,initial_tool_rotation_rotvec_z,initial_tool_orientation_B_r0c0,initial_tool_orientation_B_r0c1,initial_tool_orientation_B_r0c2,initial_tool_orientation_B_r1c0,initial_tool_orientation_B_r1c1,initial_tool_orientation_B_r1c2,initial_tool_orientation_B_r2c0,initial_tool_orientation_B_r2c1,initial_tool_orientation_B_r2c2,initial_valid_tool_sample_index,plate_position_B_x,plate_position_B_y,plate_position_B_z,mouth_proxy_position_B_x,mouth_proxy_position_B_y,mouth_proxy_position_B_z,valid_plate_fraction,finite_mouth_proxy_fraction,mouth_proxy_constant_within_record,mouth_proxy_max_deviation_m,segment_duration_s,valid_tool_pose_samples,total_samples,final_fork_to_mouth_proxy_distance_m,max_relative_rotation_rad
trial_0012_bite_012_transfer,trial_0012_bite_012,trial_0012,transfer,True,,-0.108751394,0.00764276,0.088246249,-1.8642594782228632,-0.24996934591866457,-2.4116006920182613,-0.25471082206022566,0.1649974001332615,0.9528369509389677,0.033939257286234426,-0.9832036639307166,0.17932841952148462,0.9664215042828171,0.07801546758482708,0.24483272427773609,0,-0.151067789247,0.126267091495,0.006906875109999999,0.030212067480000004,0.683072563073,0.36058077271600003,1.0,1.0,True,0.0,1.79,180,180,0.17999990264416071,0.42518647524095915
trial_0012_bite_012_withdrawal,trial_0012_bite_012,trial_0012,withdrawal,True,,0.097697362,0.511717618,0.389021277,-1.7027732563766906,-0.4381452970243321,-2.3663333794370205,-0.32032481512567385,0.3244767339378717,0.8900038550184572,0.01569194508551014,-0.9375622787801162,0.34746328765506923,0.9471777951758248,0.12526700499991078,0.2952327925285674,0,-0.151067789247,0.126267091495,0.006906875109999999,0.030212067480000004,0.683072563073,0.36058077271600003,1.0,1.0,True,0.0,0.96,97,97,0.6236957884390397,1.3064752444175156
trial_0012_bite_013_transfer,trial_0012_bite_013,trial_0012,transfer,True,,-0.113074705,0.009357342,0.071081959,-1.8018416139579247,-0.3422528008064844,-2.4159477881195253,-0.2904595152098961,0.21978983286876677,0.9313032263401388,0.047531426918194786,-0.9687477926424429,0.2434511813598673,0.955706039260584,0.11497888335652884,0.2709350898332169,0,-0.151067789247,0.126267091495,0.006906875109999999,0.018863714990999998,0.6868504860110001,0.359050311419,1.0,1.0,True,0.0,2.03,204,204,0.17999992476119747,0.6101226232672025
trial_0012_bite_013_withdrawal,trial_0012_bite_013,trial_0012,withdrawal,True,,0.076429188,0.503250122,0.351053447,-1.8232499901479529,-0.17668922869989326,-2.253477309025007,-0.19465975329606358,0.2579070396486294,0.9463569830388511,-0.10725937650146466,-0.964624192037027,0.24082274454342953,0.9749887212677041,-0.054627163907649434,0.21543645551339285,0,-0.151067789247,0.126267091495,0.006906875109999999,0.018863714990999998,0.6868504860110001,0.359050311419,1.0,1.0,True,0.0,1.19,120,120,0.5438772112038011,1.434306029591137
trial_0012_bite_014_transfer,trial_0012_bite_014,trial_0012,transfer,True,,-0.050829761,0.075317547,0.060099192,-2.1130859419362573,-0.1189017388595687,-1.8179932498058224,0.17328223984657412,0.2869553777445844,0.9421411128579505,-0.16179860487850328,-0.9353207844554186,0.31463668194454164,0.9714908526656978,-0.20695806664434124,-0.11564550072403201,0,-0.151067789247,0.126267091495,0.006906875109999999,0.016927662337,0.6914367410810001,0.369736499513,1.0,1.0,True,0.0,1.75,176,176,0.17999979021088774,0.3647116317341625
trial_0012_bite_014_withdrawal,trial_0012_bite_014,trial_0012,withdrawal,True,,0.078017592,0.504529953,0.364373744,-1.6974036988141217,-0.18419388041947216,-2.3692902199138524,-0.30821695699906837,0.2504298839432524,0.9177620501232351,-0.10558049210757664,-0.9677738069454475,0.22861893682859594,0.945439086935037,-0.02643353586799757,0.3247248082253016,0,-0.151067789247,0.126267091495,0.006906875109999999,0.016927662337,0.6914367410810001,0.369736499513,1.0,1.0,True,0.0,1.24,120,125,0.7676043577039765,0.4280763527654839
trial_0012_bite_015_transfer,trial_0012_bite_015,trial_0012,transfer,True,,-0.12851733,0.025029704,0.084745526,1.8936920188056945,0.16126120965390334,2.4636126721365375,-0.25890348942662933,0.03925180777588584,0.9651053200293946,0.08689027956839673,-0.994176450804003,0.06374373681611319,0.9619870386233076,0.10036174696108552,0.25398515166772634,0,-0.151067789247,0.126267091495,0.006906875109999999,0.006368321025,0.681675493913,0.369970039165,1.0,1.0,True,0.0,1.5,151,151,0.17999998878381604,0.5633191204355273
trial_0012_bite_015_withdrawal,trial_0012_bite_015,trial_0012,withdrawal,True,,0.077376656,0.502921879,0.37093693,-1.8299911883185933,-0.2784968833870778,-2.25772000216392,-0.19931878390561805,0.28842179172332466,0.9365281055267336,-0.05219162626240603,-0.9574726513562106,0.28376426140899735,0.9785438449709196,0.007680622632026846,0.20589548685076497,0,-0.151067789247,0.126267091495,0.006906875109999999,0.006368321025,0.681675493913,0.369970039165,1.0,1.0,True,0.0,1.14,115,115,0.7615860568184422,0.45824866402876
trial_0013_bite_001_transfer,trial_0013_bite_001,trial_0013,transfer,True,,-0.061637133,-0.001291627,0.141381025,2.079082252984862,0.32279241070265746,2.3146382287559297,-0.11637557870441986,0.12711011833723915,0.9850379396233958,0.1472391993271649,-0.978610151517485,0.1436759880022431,0.9822307991825072,0.16175657378671926,0.09517073065851103,0,-0.123714086463,0.111574126196,0.007604672654,0.034633176091,0.47454376104400003,0.334035083086,1.0,1.0,True,0.0,1.23,124,124,0.18000000669794544,0.380851440194778
trial_0013_bite_001_withdrawal,trial_0013_bite_001,trial_0013,withdrawal,True,,0.070211031,0.274756253,0.332226992,-1.9434963700080083,-0.013490848548413818,-2.3373167019307797,-0.1794050015189551,0.0837907071677623,0.9802004707315286,-0.07247018738044098,-0.9947847346515013,0.07177327946656958,0.9811023990241936,-0.058158826472590075,0.1845416850803733,0,-0.123714086463,0.111574126196,0.007604672654,0.034633176091,0.47454376104400003,0.334035083086,1.0,1.0,True,0.0,0.84,85,85,0.6943335784272225,0.34153591527611304
trial_0013_bite_002_transfer,trial_0013_bite_002,trial_0013,transfer,True,,-0.105146892,-0.047331087,0.090733528,-2.046842900419856,-0.0024964917754201517,-2.253193057098867,-0.09315361202664288,0.07316018585735325,0.99296021661077,-0.07095964975285773,-0.9952485130586116,0.06667177334955501,0.9931198984379185,-0.06424939268148933,0.09790241501984688,0,-0.123714086463,0.111574126196,0.007604672654,0.050810966491000004,0.46075470498700005,0.343057958001,1.0,1.0,True,0.0,1.3,131,131,0.1799998191859893,0.22910561577978664
trial_0013_bite_002_withdrawal,trial_0013_bite_002,trial_0013,withdrawal,True,,0.070027061,0.261411667,0.346111566,-2.038783099320439,-0.0033312905786904664,-2.351206887787389,-0.1413691811147934,0.023723121677117764,0.9896726570582952,-0.020918610880415855,-0.9995611961329155,0.020972050547558553,0.9897359073761883,-0.017737775599783234,0.14180340252266602,0,-0.123714086463,0.111574126196,0.007604672654,0.050810966491000004,0.46075470498700005,0.343057958001,1.0,1.0,True,0.0,1.15,116,116,0.4280997672895937,1.4449854020618935
trial_0013_bite_003_transfer,trial_0013_bite_003,trial_0013,transfer,True,,-0.115434259,-0.026470408,0.092713788,-1.8089355633772122,0.100861992759484,-2.4372169346610657,-0.2868371489585878,0.04445008954230005,0.95694756361934,-0.12336747665257752,-0.9923191964894849,0.009114712438653472,0.9500025871973639,-0.11544176808306916,0.29011770456173513,0,-0.123714086463,0.111574126196,0.007604672654,0.035332300771000004,0.458954950224,0.359963890364,1.0,1.0,True,0.0,1.63,164,164,0.17999999703539568,0.26627228162443267
trial_0013_bite_003_withdrawal,trial_0013_bite_003,trial_0013,withdrawal,True,,0.067835338,0.278070152,0.324022412,-1.8272584227956394,0.1322583066133346,-2.3700482266432092,-0.24915480750533553,0.06153671202149355,0.9665066554196939,-0.16868975066278996,-0.9854810403558342,0.019258429855742387,0.9536590847458567,-0.15824143633311277,0.2559179515175293,0,-0.123714086463,0.111574126196,0.007604672654,0.035332300771000004,0.458954950224,0.359963890364,1.0,1.0,True,0.0,0.93,94,94,0.605630800197626,0.5434932772925279
trial_0013_bite_004_transfer,trial_0013_bite_004,trial_0013,transfer,True,,-0.086601175,-0.03427209,0.10332831,-2.091848044483945,-0.06099025006936882,-2.300499419903633,-0.0948670598222209,0.04977168247297772,0.9942449499919508,0.0029795402104080826,-0.9987306895477551,0.05028053396296072,0.9954854912558103,0.007732359230853636,0.0945983473423469,0,-0.123714086463,0.111574126196,0.007604672654,0.026404102769,0.449097419281,0.341625183001,1.0,1.0,True,0.0,1.51,152,152,0.17999994127734012,0.24385545137586673
trial_0013_bite_004_withdrawal,trial_0013_bite_004,trial_0013,withdrawal,True,,0.064968392,0.248509035,0.348102123,-1.9202548661423846,-0.139621281673026,-2.365510659442849,-0.20469955149507724,0.12845748045431948,0.9703590929820993,-0.013414783660054996,-0.9916261636829157,0.12844296430267227,0.9787329243450781,0.013275059880533124,0.20470866026648732,0,-0.123714086463,0.111574126196,0.007604672654,0.026404102769,0.449097419281,0.341625183001,1.0,1.0,True,0.0,0.83,84,84,0.6064058584963421,0.35537022806652496
trial_0013_bite_005_transfer,trial_0013_bite_005,trial_0013,transfer,True,,-0.104682185,-0.038159937,0.080114312,-2.126086346162887,0.07112604857218265,-2.240453711324942,-0.0521354350008914,0.006104178821294985,0.9986213673951632,-0.06943305768590485,-0.997583547975847,0.0024729149412968943,0.9962233418855702,-0.0692084085125409,0.052433284023677446,0,-0.123714086463,0.111574126196,0.007604672654,0.017555572053,0.405445430587,0.306314320403,1.0,1.0,True,0.0,1.37,138,138,0.1800000024654268,0.6766024479586368
trial_0013_bite_005_withdrawal,trial_0013_bite_005,trial_0013,withdrawal,True,,0.039976019,0.261806071,0.454297394,1.545077997382888,0.7810719990616874,2.158868633084596,-0.32888805234881957,0.019053642699205467,0.9441766824710783,0.589479705975325,-0.7769596283906282,0.22101450652466628,0.7377982957864873,0.6292620237635418,0.24430100323896975,0,-0.123714086463,0.111574126196,0.007604672654,0.017555572053,0.405445430587,0.306314320403,1.0,1.0,True,0.0,0.89,90,90,0.43008469940151167,0.5225492147917844
trial_0013_bite_006_transfer,trial_0013_bite_006,trial_0013,transfer,True,,-0.101746447,-0.023572881,0.09472689,-1.8164850710418565,-0.22973339529519854,-2.5342338345013298,-0.32479227463168975,0.09764770140542442,0.940731048041793,0.0731122497223814,-0.9890873415807881,0.12790945885735505,0.9429552360955982,0.11032296739521796,0.31410868435146533,0,-0.123714086463,0.111574126196,0.007604672654,0.030353033603000002,0.45083627303100005,0.3415706664,1.0,1.0,True,0.0,1.57,158,158,0.17999994869907435,0.29561999770931274
trial_0013_bite_006_withdrawal,trial_0013_bite_006,trial_0013,withdrawal,True,,0.058570098,0.269277871,0.358131528,-1.938638808287576,-0.17858782167581005,-2.4463590221734384,-0.23095498093265382,0.08265756510957038,0.9694470195490597,0.059010583186286214,-0.9933605784718349,0.09875480854174191,0.9711732841539722,0.0800155489155629,0.22454390233833837,0,-0.123714086463,0.111574126196,0.007604672654,0.030353033603000002,0.45083627303100005,0.3415706664,1.0,1.0,True,0.0,1.41,142,142,0.6208792637857596,0.19810829632791405
trial_0013_bite_007_transfer,trial_0013_bite_007,trial_0013,transfer,True,,-0.113521539,-0.036455438,0.086903609,-2.061727847572648,0.05481027067886523,-2.3433683946160944,-0.12750738525257724,-0.00826873473151584,0.9918031532174068,-0.038110546493331565,-0.9991859476805666,-0.013229822510822463,0.9911051674529957,-0.03948506025863541,0.127088461570441,0,-0.123714086463,0.111574126196,0.007604672654,-0.00038321664300000006,0.42225607519200004,0.33004841143200003,1.0,1.0,True,0.0,0.98,99,99,0.1799999518579402,0.2998125050882196
trial_0013_bite_007_withdrawal,trial_0013_bite_007,trial_0013,withdrawal,True,,0.048604544,0.251674026,0.340839982,-1.9905105883632948,-0.2372465891654029,-2.322557625005877,-0.15656294229400755,0.15585846756647756,0.975292870469211,0.044553025720076855,-0.9853506968392599,0.1646178366325217,0.9866625932908523,0.06922530119988418,0.14732543797442407,0,-0.123714086463,0.111574126196,0.007604672654,-0.00038321664300000006,0.42225607519200004,0.33004841143200003,1.0,1.0,True,0.0,1.35,136,136,0.3143035751782136,1.8440425317396065
