scope,grouping,group,strategy,source_valid_frames,attempted_frames,SUCCESS_EXACT,success_percent,continuous_frame_percent,continuity_violations,JOINT_LIMIT,NO_VALID_BRANCH,NO_FEASIBLE_PSI,INPUT_NOT_SOLVED,other_status,clean_wrapped_delta_q_rad_support_values,clean_wrapped_delta_q_rad_p95,clean_wrapped_delta_q_rad_max,clean_wrapped_delta_q_rad_rms,clean_joint_velocity_rad_s_support_values,clean_joint_velocity_rad_s_p95,clean_joint_velocity_rad_s_max,clean_joint_velocity_rad_s_rms,clean_joint_acceleration_rad_s2_support_values,clean_joint_acceleration_rad_s2_p95,clean_joint_acceleration_rad_s2_max,clean_joint_acceleration_rad_s2_rms,clean_joint_jerk_rad_s3_support_values,clean_joint_jerk_rad_s3_p95,clean_joint_jerk_rad_s3_max,clean_joint_jerk_rad_s3_rms,joint_limit_margin_rad_count,joint_limit_margin_rad_min,joint_limit_margin_rad_mean,joint_limit_margin_rad_p95,joint_limit_margin_rad_max,total_wrapped_joint_travel_rad,continuous_segments,longest_continuous_segment_frames,clean_branch_changes,clean_search_branch_changes,search_attempted_frames,local_selected_frames,local_candidate_selected_percent,global_recovery_frames,global_recovery_percent,no_feasible_psi_frames,average_candidates_evaluated_among_search_attempts,chosen_abs_delta_psi_rad_count,chosen_abs_delta_psi_rad_min,chosen_abs_delta_psi_rad_mean,chosen_abs_delta_psi_rad_p95,chosen_abs_delta_psi_rad_max,total_psi_travel_rad,candidate_SUCCESS_EXACT,candidate_JOINT_LIMIT,candidate_NO_VALID_BRANCH,candidate_other_status
clean_motion,phase,withdrawal,H_star,14109,14109,13989,99.14947905592174,99.92136678819072,11,43,77,0,0,0,96775,0.02706612018932872,0.3151972817743891,0.012816013839613644,96775,2.7066120189328697,31.519728177438925,1.2816013839613645,95725,106.00975763356129,2509.719594130697,53.99436764041604,94696,16915.48649333613,221407.13614727446,8375.52920983041,13989,0.0004203168319323325,0.592788363926239,0.8956119283050646,1.0386686723644996,814.4148018380664,164,227,13822,3,,,,,,,,,,,,,,,,,
clean_motion,phase,withdrawal,HumanGT,14109,14109,13878,98.36274718264937,99.94956045539703,7,154,77,0,0,0,96012,0.026533084794318727,0.35426643485416953,0.012442455017066237,96012,2.65330847943187,35.426643485416925,1.2442455017066236,94962,70.61597468232326,2204.2518504547907,39.82751947163469,93919,9733.389712588298,333957.0443768613,5511.811839807822,13878,0.001107492407420807,0.6186411970472983,0.9171644181918985,1.074710124975569,776.0830077674483,162,227,13707,0,,,,,,,,,,,,,,,,,
clean_motion,phase,withdrawal,RobotSmooth,14109,13461,13456,95.37174852930754,100.0,0,0,5,0,648,0,93156,0.026608659254538647,0.12040181912790081,0.01214586060857658,93156,2.6608659254538845,12.04018191279007,1.214586060857658,92183,70.7464984225443,1380.034183693286,46.66644330287709,91210,10213.41391485042,230184.45145253325,7129.079653781124,13456,1.0969169156105352e-05,0.5623978988336206,0.8877879925056935,1.032735259595102,748.7332063569113,148,227,2,2,13308.0,13308.0,100.0,0.0,0.0,0.0,9.0,13308.0,0.0,0.0011421701232341402,0.0,0.10000000000000009,15.200000000000035,119038.0,732.0,2.0,0.0
clean_motion,take,trial_0012,B0,4327,4327,3542,81.8581003004391,99.80237154150197,7,238,547,0,0,0,24514,0.02594043190120291,0.4671074736751791,0.015205455243909186,24514,2.594043190120289,46.71074736751787,1.5205455243909185,24269,74.01761072730459,4896.891566947038,92.6401616203949,24031,11829.49527128049,955412.8382940255,13938.539109554024,3542,0.000873382880274054,0.49396258328083487,0.8033271775276443,0.963097103140937,211.5210542775177,40,188,3494,1,,,,,,,,,,,,,,,,,
clean_motion,take,trial_0012,B1,4327,4327,3581,82.7594176103536,99.88829935772131,4,203,543,0,0,0,24801,0.02601541786984152,0.39253760724652986,0.015074664595485345,24801,2.601541786984179,39.25376072465295,1.5074664595485343,24563,74.61961339153055,3372.8474058247652,77.74319522699757,24325,11959.31912110498,632926.1219544893,10565.830285069022,3581,0.00027122436257087656,0.5084246667479693,0.8199055384687253,0.9785946738445528,216.3910571985143,38,188,3539,0,,,,,,,,,,,,,,,,,
clean_motion,take,trial_0012,B2,4327,4327,3765,87.01178645712965,99.60159362549801,15,0,562,0,0,0,26026,0.025671787863387415,0.44550499380277464,0.0156529646192209,26026,2.567178786338739,44.55049938027842,1.5652964619220917,25767,76.07080538021577,3614.3141910436616,82.15578471414423,25515,11880.142566784645,449763.9714663388,10583.4471371407,3765,0.0011552091871527281,0.4796570036819011,0.8149685812892394,0.9772222299362476,218.50058712859038,47,175,3713,3,,,,,,,,,,,,,,,,,
clean_motion,take,trial_0012,B3,4327,4327,3766,87.03489715738387,99.52203929899098,18,0,561,0,0,0,26012,0.02637732411844444,0.4576930690170524,0.01576337995318154,26012,2.6377324118444485,45.7693069017052,1.576337995318155,25718,94.53670792483709,3204.9310038364383,84.82111710101776,25438,15761.961171400846,392019.491224071,11463.073793202377,3766,0.0012046332676467486,0.4760761243980124,0.8121357564664358,1.0035892263842525,224.67520976592098,50,175,3710,7,,,,,,,,,,,,,,,,,
clean_motion,take,trial_0012,StrongLocal,4327,4327,3764,86.98867575687544,99.52178533475026,18,0,563,0,0,0,25991,0.026896608106515618,0.36886824539966184,0.015208291264389643,25991,2.6896608106515596,36.88682453996615,1.520829126438964,25718,126.89584130496068,3439.729514346264,92.7535168611033,25452,22163.4533466565,560959.3837535364,14508.890059340187,3764,0.0010663462958309111,0.48211958433961805,0.8289507114936856,1.0202588005809456,228.80423648142843,51,175,3707,5,,,,,,,,,,,,,,,,,
clean_motion,take,trial_0012,H_star,4327,4327,3763,86.96556505662122,99.62795641775179,14,0,564,0,0,0,26012,0.026972575793771703,0.4187264326654181,0.015838715683438608,26012,2.6972575793771685,41.8726432665427,1.5838715683438622,25739,158.72565425150458,3253.4495055690963,103.63214876877244,25480,27908.515164425877,456584.0002910668,16318.162189773622,3763,0.0012467220398724166,0.475324624607211,0.8290909407585138,1.0020660009942208,236.73672930721352,47,175,3712,6,,,,,,,,,,,,,,,,,
clean_motion,take,trial_0012,HumanGT,4327,4327,3670,84.81626993297897,99.75476839237058,9,101,556,0,0,0,25382,0.025865110152201096,0.4344009341297679,0.015882854319112093,25382,2.5865110152201343,43.44009341297675,1.5882854319112096,25116,82.61024562132548,3273.9072220033477,85.80984927780807,24864,13358.23914241948,343410.15964745474,10890.467156189536,3670,0.001107492407420807,0.48673373809417625,0.8282587528450669,0.9863954233869379,217.73608860875518,44,188,3615,1,,,,,,,,,,,,,,,,,
