take,record_id,parent_bite_id,phase,strategy,segment_id,frames,start_index,end_index,start_time_s,end_time_s,start_motive_frame,end_motive_frame,joint_limit_margin_min_rad,joint_limit_margin_mean_rad,joint_limit_margin_p95_rad,joint_limit_margin_max_rad,travel_total_rad,travel_rms,travel_p95,travel_max,velocity_total_rad,velocity_rms,velocity_p95,velocity_max,acceleration_total_rad,acceleration_rms,acceleration_p95,acceleration_max,jerk_total_rad,jerk_rms,jerk_p95,jerk_max
trial_0012,trial_0012_bite_002_withdrawal,trial_0012_bite_002,withdrawal,B3,0,113,0,112,0.0,1.12,2406,2518,0.32553580552414285,0.5204715008065405,0.8987815923484344,0.977064658048461,7.717201291871399,0.013772873002205942,0.029751030393924478,0.0455801347542133,,1.377287300220594,2.975103039392445,4.558013475421325,,48.830053489590945,100.12975584106157,276.2426463094454,,8009.057991257315,17223.25678687914,42598.02113126054
trial_0012,trial_0012_bite_002_withdrawal,trial_0012_bite_002,withdrawal,StrongLocal,0,113,0,112,0.0,1.12,2406,2518,0.32553580552414285,0.5222112138464855,0.9038416766928795,0.9775496523710538,8.199113969823088,0.014401239747898628,0.03160918768330992,0.047702609871208335,,1.4401239747898626,3.1609187683309896,4.770260987120829,,70.94396962214547,143.5913483544515,460.37195522833497,,12212.489216456981,25020.581772377966,86200.1165309054
trial_0012,trial_0012_bite_002_withdrawal,trial_0012_bite_002,withdrawal,H_star,0,113,0,112,0.0,1.12,2406,2518,0.32553580552414285,0.5204403028750642,0.9033515230362246,0.9776751010250946,8.504499585826883,0.014730605378909106,0.03197721007189514,0.04823999566435555,,1.4730605378909105,3.197721007189517,4.823999566435551,,81.72668198822707,165.2002015916839,558.966453719324,,13913.723432771216,29254.95488806133,85201.86834817499
trial_0012,trial_0012_bite_002_withdrawal,trial_0012_bite_002,withdrawal,HumanGT,0,113,0,112,0.0,1.12,2406,2518,0.32553580552414285,0.5219760993143332,0.8900159689802614,0.9686902698780804,7.735900332101464,0.013582376623200798,0.029976231140322475,0.045526775483840425,,1.35823766232008,2.9976231140322445,4.552677548384039,,39.145702437680114,76.34140045027475,223.7185286740924,,6156.382974323601,12578.746162654399,31571.790271975347
trial_0012,trial_0012_bite_002_withdrawal,trial_0012_bite_002,withdrawal,RobotSmooth,0,113,0,112,0.0,1.12,2406,2518,0.31567478174570685,0.5154401316005615,0.8830531671374313,0.963097103140937,7.664490021094196,0.013469218662215853,0.029126437174863594,0.04563988008755437,,1.3469218662215854,2.9126437174863566,4.563988008755433,,37.447094209027384,73.98307516992361,221.18072233483906,,5834.150527548075,13214.307611954131,31796.333354927072
trial_0012,trial_0012_bite_003_transfer,trial_0012_bite_003,transfer,B0,0,146,0,145,0.0,1.45,4009,4154,0.3806677727266079,0.6006395709547749,0.9185563585836449,0.9503739266462956,5.998722163313667,0.0073980085072544504,0.014807301287080589,0.01874460271427747,,0.7398008507254451,1.4807301287080632,1.8744602714277556,,26.09364570362035,53.06524579960831,136.1040582003079,,4400.361051980602,9151.553062661553,25716.977507581545
trial_0012,trial_0012_bite_003_transfer,trial_0012_bite_003,transfer,B1,0,146,0,145,0.0,1.45,4009,4154,0.3901997791826908,0.6169233567692112,0.9444001615041839,0.9785946738445528,6.275625600927398,0.007705852374278984,0.015553541898198018,0.019498159006801075,,0.7705852374278984,1.5553541898198064,1.9498159006801166,,26.62585480666976,53.531209764877815,138.97186224377273,,4498.107027559301,9340.603293969325,26421.988064925834
trial_0012,trial_0012_bite_003_transfer,trial_0012_bite_003,transfer,B2,0,146,0,145,0.0,1.45,4009,4154,0.33458697171988483,0.5488436372263964,0.8349918434235866,0.8632172173356087,5.505497300398997,0.00671396639228093,0.012770134588639338,0.017010605436251325,,0.671396639228093,1.2770134588639326,1.7010605436251405,,24.387082250445644,50.336232173319296,125.17481358865523,,4087.9446250422134,8594.354951817682,22891.59324499662
trial_0012,trial_0012_bite_003_transfer,trial_0012_bite_003,transfer,B3,0,146,0,145,0.0,1.45,4009,4154,0.3346892957047407,0.5368626341727314,0.8184691320151605,0.8492588382130497,5.637955176686681,0.00689261816239152,0.012831606480498702,0.019765363821360182,,0.6892618162391521,1.283160648049874,1.9765363821360276,,36.41733554449539,74.66071682879144,195.29320860443863,,6495.77581741989,13920.79844421264,38822.532559405496
trial_0012,trial_0012_bite_003_transfer,trial_0012_bite_003,transfer,StrongLocal,0,146,0,145,0.0,1.45,4009,4154,0.3334224576743994,0.5307070905256298,0.799421540346547,0.8261784717814482,5.722235376624674,0.006933337378084342,0.012723656664914438,0.02167157609172543,,0.6933337378084343,1.2723656664914427,2.1671576091725533,,47.43226351889564,100.14590571897978,244.58128841706244,,8612.37529962069,18867.410901951273,48913.88779337046
