record_id,parent_bite_id,take,phase,generator,first_delta_correction_rad,generated_vs_measured_reference_delta_psi_rmse_rad,generated_vs_measured_reference_delta_psi_mae_rad,generated_vs_measured_reference_delta_psi_p95_rad,generated_vs_measured_reference_delta_psi_max_rad,end_to_end_coordination_deviation_rmse_rad,end_to_end_coordination_deviation_mae_rad,coordination_success
trial_0013_bite_009_withdrawal,trial_0013_bite_009,trial_0013,withdrawal,contextual_promp,-0.04618999456045487,0.062394325724833034,0.05114291723415744,0.10689904709557685,0.1076787813577128,0.027135127060652908,0.02334846798949885,True
trial_0013_bite_010_transfer,trial_0013_bite_010,trial_0013,transfer,retrieval,0.012806947423975049,0.02684763760907959,0.021887617240419058,0.04626195270789946,0.0471424720536165,0.06519261453052763,0.05673773013588099,True
trial_0013_bite_010_transfer,trial_0013_bite_010,trial_0013,transfer,contextual_promp,0.012806947423975049,0.02472875560033302,0.021693226839530594,0.03772649690667077,0.03970158032222438,0.06105138274719335,0.052588928645660234,True
trial_0013_bite_010_withdrawal,trial_0013_bite_010,trial_0013,withdrawal,retrieval,-0.04610705103515422,0.09491741318165835,0.07233571754693657,0.19166560183132167,0.202469447986311,0.07944466032464584,0.06102919605009502,True
trial_0013_bite_010_withdrawal,trial_0013_bite_010,trial_0013,withdrawal,contextual_promp,-0.04610705103515422,0.08482101376698518,0.07001043929358686,0.13605608694060842,0.14986934092138532,0.08569389744307018,0.06512729819215195,True
trial_0013_bite_011_transfer,trial_0013_bite_011,trial_0013,transfer,retrieval,0.015909324806393628,0.019353984382584677,0.01580987475416936,0.037698732084709405,0.040148685216359635,0.09481034975497896,0.09017865274237372,True
trial_0013_bite_011_transfer,trial_0013_bite_011,trial_0013,transfer,contextual_promp,0.015909324806393628,0.00591447595975443,0.004994475351929313,0.010620234170606098,0.012932109669301445,0.07957801433737055,0.07175132402130709,True
trial_0013_bite_011_withdrawal,trial_0013_bite_011,trial_0013,withdrawal,retrieval,-0.010197877400727862,0.07585550384278654,0.06277689273424766,0.1213872172081174,0.13788280996066823,0.034759914736408645,0.02674592537464218,True
trial_0013_bite_011_withdrawal,trial_0013_bite_011,trial_0013,withdrawal,contextual_promp,-0.010197877400727862,0.06096256946360834,0.04244601907085171,0.13626312142419503,0.15632512248479344,0.07351431552829511,0.05945799943740201,True
trial_0013_bite_012_transfer,trial_0013_bite_012,trial_0013,transfer,retrieval,0.012407184380823555,0.019463725965776734,0.0169966287889674,0.031869607187104215,0.037395334689734015,0.0572495867377768,0.04978935132446612,True
trial_0013_bite_012_transfer,trial_0013_bite_012,trial_0013,transfer,contextual_promp,0.012407184380823555,0.030952536359928822,0.029724474855241278,0.040417230721686875,0.042337898483403524,0.06814788792605199,0.06179746400491893,True
trial_0013_bite_012_withdrawal,trial_0013_bite_012,trial_0013,withdrawal,retrieval,-0.017506189926369035,0.164631031069112,0.1514378943220281,0.22435248634871824,0.22621496186096207,0.0849004398110999,0.07841385889889887,True
trial_0013_bite_012_withdrawal,trial_0013_bite_012,trial_0013,withdrawal,contextual_promp,-0.017506189926369035,0.09994379366641744,0.09249290747932891,0.14511158889104878,0.14713372449338125,0.03596012632310136,0.02814361410880907,True
trial_0014_bite_001_transfer,trial_0014_bite_001,trial_0014,transfer,retrieval,0.028950026011338906,0.029154581784874175,0.026386981221176872,0.04000254608045161,0.04256579722005271,0.0995119587529545,0.08403256019844016,True
trial_0014_bite_001_transfer,trial_0014_bite_001,trial_0014,transfer,contextual_promp,0.028950026011338906,0.031354986185573815,0.027518126740593715,0.049092083777907886,0.050833915449163276,0.10278048554787961,0.08465595601540203,True
trial_0014_bite_001_withdrawal,trial_0014_bite_001,trial_0014,withdrawal,retrieval,-0.003018933160150665,0.05456030610423507,0.04649152111480718,0.08852048655024974,0.09310146090982774,0.1041870292917149,0.08062042261215713,True
trial_0014_bite_001_withdrawal,trial_0014_bite_001,trial_0014,withdrawal,contextual_promp,-0.003018933160150665,0.0844735042397006,0.06960713740609872,0.12938594766573588,0.13201937263678432,0.05990513982778539,0.047166494897164166,True
