record_id,parent_bite_id,take,phase,generator,tool_rms_position_error_m,tool_rms_orientation_error_rad,tool_final_position_error_m,tool_path_length_absolute_error_m,first_delta_correction_rad,generated_vs_measured_reference_delta_psi_rmse_rad,generated_vs_measured_reference_delta_psi_mae_rad,generated_vs_measured_reference_delta_psi_p95_rad,generated_vs_measured_reference_delta_psi_max_rad,end_to_end_coordination_deviation_rmse_rad,end_to_end_coordination_deviation_mae_rad,coordination_success,common_success_frames,end_to_end_q_rms_deviation_rad,end_to_end_elbow_mean_deviation_m,end_to_end_elbow_rms_deviation_m,end_to_end_arm_plane_mean_deviation_rad,generated_joint_travel_common_support_rad,measured_reference_joint_travel_common_support_rad,joint_travel_difference_rad,stronglocal_frame_success_rate,stronglocal_complete_trajectory_success,stronglocal_continuity_violations,stronglocal_complete_pipeline_success
trial_0012_bite_003_withdrawal,trial_0012_bite_003,trial_0012,withdrawal,retrieval,0.1350367847089661,0.7158148101347701,0.1326413199439764,0.0149954323189539,0.12677551227429829,0.18235018239954537,0.13238386372741545,0.36279301533757297,0.3851043681705848,0.37174455618351726,0.3262421710360228,True,101,0.409694586824714,0.1351077575333203,0.15680930894661413,0.19730712887644128,9.046559963704054,7.380191848307907,1.6663681153961463,1.0,True,0,True
trial_0012_bite_003_withdrawal,trial_0012_bite_003,trial_0012,withdrawal,contextual_promp,0.1090618541788732,0.4377358064759322,0.1902610061688574,0.0481890824007479,0.12677551227429829,0.0672005757224657,0.05155396847338006,0.1372015822730419,0.14373117853238088,0.2911374339003442,0.24608108210069315,True,101,0.3035480406741041,0.10570619224959883,0.14030798110281031,0.09732558117488906,7.301434916150024,7.380191848307907,-0.0787569321578836,1.0,True,0,True
trial_0012_bite_004_transfer,trial_0012_bite_004,trial_0012,transfer,retrieval,0.0382308544401368,0.13901523913431,0.0324315077650262,0.0169022830406393,0.001976292237154535,0.03475466789549009,0.02773811712302058,0.06787762642007059,0.07348933227855947,0.12025385570475573,0.09987982404019734,True,65,0.12410785338297077,0.03192952602616576,0.03832325469334913,0.05295622186384592,5.716505864307385,3.953267481112935,1.7632383831944503,0.6435643564356436,False,0,False
trial_0012_bite_004_transfer,trial_0012_bite_004,trial_0012,transfer,contextual_promp,0.0646530915675037,0.2151466307303774,0.0430765460958735,0.0507118938309211,0.001976292237154535,0.0745199199653995,0.07012273743494638,0.1008289392406404,0.10244984281351786,0.06599558502048171,0.05576653412468941,True,74,0.10093977594148823,0.040308480622661284,0.046742697540337684,0.06097872273100513,5.097418542483766,4.393279805452368,0.7041387370313981,0.7326732673267327,False,0,False
trial_0012_bite_004_withdrawal,trial_0012_bite_004,trial_0012,withdrawal,retrieval,0.0625509144024544,0.3614504915488015,0.0900834549367015,0.0409744117305208,0.14834723820143822,0.05607936412229753,0.043532119806427634,0.11070936752078941,0.12222258261397101,0.1665072927131783,0.14323205714036763,True,101,0.20338369289524635,0.08997160394631272,0.10750832336436136,0.13054248711170538,7.319926622459542,9.01584947112056,-1.6959228486610183,1.0,True,0,True
trial_0012_bite_004_withdrawal,trial_0012_bite_004,trial_0012,withdrawal,contextual_promp,0.0450683470816152,0.3557997972140092,0.0429505847214422,0.0045850218242219,0.14834723820143822,0.06770838374124925,0.051800838903510914,0.13997503790799704,0.14712216106007847,0.15453282975927718,0.1348432830227034,True,101,0.18307434616773813,0.08233941552912069,0.1007992199246107,0.11552230812156473,7.130380726783846,9.01584947112056,-1.8854687443367144,1.0,True,0,True
trial_0012_bite_005_transfer,trial_0012_bite_005,trial_0012,transfer,retrieval,0.0725876307684048,0.1292436180786422,0.014522298840596,0.0210981908635399,0.03659086387131922,0.05118382824652178,0.04420768485450588,0.08926204157348698,0.0920090086757252,0.19378663853508088,0.16197759399293896,True,101,0.19111945657810706,0.06632495953589611,0.07589748869649783,0.09897630167125168,7.762567356926176,5.097136079538873,2.6654312773873032,1.0,True,1,False
trial_0012_bite_005_transfer,trial_0012_bite_005,trial_0012,transfer,contextual_promp,0.0571772828481878,0.0842726685424548,0.0408411731709304,0.0423510731762326,0.03659086387131922,0.028218731379629894,0.021060907803186098,0.053058927479795404,0.058577503197096585,0.17814895989264712,0.15868049506417667,True,101,0.12507516571423397,0.06717994460611462,0.07238309836359078,0.06150363712516454,4.068021532194477,5.128780075105552,-1.060758542911075,1.0,True,0,True
trial_0012_bite_005_withdrawal,trial_0012_bite_005,trial_0012,withdrawal,retrieval,0.1122497740773433,0.9249920925448613,0.0774334852696572,0.0325076371271706,0.17943907340119727,0.16764215002563138,0.1452076371299321,0.2778059992116585,0.29422385582215793,0.12460036723888823,0.10858762893249775,True,101,0.4189485168696972,0.13380397814891531,0.14538323081656024,0.17978140951409108,8.553581798996227,11.080266907258087,-2.5266851082618604,1.0,True,0,True
trial_0012_bite_005_withdrawal,trial_0012_bite_005,trial_0012,withdrawal,contextual_promp,0.0780722351665205,0.8713963926758653,0.0680559882822875,0.0041183441828497,0.17943907340119727,0.1469233930433869,0.12864436988941602,0.22813071285353692,0.24233231739738337,0.13713764493210034,0.12515554096390533,True,101,0.3854365095297911,0.13802814512180003,0.15625179536566525,0.17479555845311662,6.508826535156565,11.080266907258087,-4.571440372101522,1.0,True,0,True
trial_0012_bite_006_transfer,trial_0012_bite_006,trial_0012,transfer,retrieval,0.0740181629667766,0.2764347053115387,0.0563751592100516,0.000651275144712,0.019169089379747803,0.08402899790256382,0.07751324643449063,0.13225127106113904,0.13827061136725444,0.07398078408057451,0.06658731202947757,True,57,0.13419267583450148,0.038090209619381435,0.042836187120128925,0.06687312406679424,4.981040220607902,3.588921546164248,1.3921186744436538,0.5643564356435643,False,0,False
trial_0012_bite_006_transfer,trial_0012_bite_006,trial_0012,transfer,contextual_promp,0.063145031380469,0.139839295257847,0.0327468889748864,0.0428438797454886,0.019169089379747803,0.04923091158743089,0.045944958318001494,0.07031016969951992,0.07336031117787935,0.05542293422471694,0.04918915073947293,True,70,0.12085309177466125,0.041461843199442745,0.051822465007796505,0.047072943486392335,4.448047599400899,4.736021800760392,-0.2879742013594928,0.693069306930693,False,1,False
trial_0012_bite_006_withdrawal,trial_0012_bite_006,trial_0012,withdrawal,retrieval,0.0818144134391729,0.9947034412358898,0.0367179641084602,0.0486799056630691,0.16526913850164426,0.10879809275683953,0.08274819636350478,0.22473230541756994,0.2526449724543606,0.1552589967768136,0.10970604048135887,True,101,0.5216814836475542,0.1353546840838381,0.158530008509989,0.17805193210199965,8.022993613172265,10.866078209146695,-2.84308459597443,1.0,True,0,True
trial_0012_bite_006_withdrawal,trial_0012_bite_006,trial_0012,withdrawal,contextual_promp,0.0650346513397552,0.906540719467448,0.0223794891724771,0.0094649326567763,0.16526913850164426,0.11392524357495351,0.0969780929315992,0.16289814941512007,0.17184319098039416,0.10827538324858163,0.09632383050666475,True,101,0.5006229074971598,0.14455476245546314,0.1651348248307237,0.1900031362601993,6.145537386899518,10.866078209146695,-4.720540822247177,1.0,True,0,True
trial_0012_bite_007_transfer,trial_0012_bite_007,trial_0012,transfer,retrieval,0.051548234166093,0.1832581922001795,0.0268774742079012,0.0302568281923534,0.025543196890301975,0.05363410919261973,0.04918564229004612,0.08768624697833724,0.09452095239261006,0.14321558555384006,0.12554661926889357,True,61,0.13370989656870297,0.029605025950302698,0.03464291461229768,0.024373078860322084,5.11526071534197,3.27544255330898,1.8398181620329899,0.6039603960396039,False,1,False
