outer_held_take,model,alpha,inner_bite_circular_rmse,selected_local,star_alphas
trial_0019,L0_kinematic,10.0,0.12139248457583453,,
trial_0019,L3_temporal_plate,0.01,0.12143079726099865,,
trial_0019,L3_temporal_plate,0.001,0.12146591617379546,,
trial_0019,L1_temporal,10.0,0.12149753346962175,,
trial_0019,L1_temporal,100.0,0.12173302034499586,,
trial_0019,L3_temporal_plate,100.0,0.12318596282971442,,
trial_0019,L0_kinematic,100.0,0.12369181694580146,,
trial_0019,L0_kinematic,1.0,0.12600633913590967,,
trial_0019,L1_temporal,1.0,0.12706145495633264,,
trial_0019,L0_kinematic,0.1,0.12747581220988158,,
trial_0019,L0_kinematic,0.01,0.12766402432753327,,
trial_0019,L0_kinematic,0.001,0.12768341937295313,,
trial_0019,L1_temporal,0.1,0.12878841744188843,,
trial_0019,L1_temporal,0.01,0.1290111755588174,,
trial_0019,L1_temporal,0.001,0.1290341576681107,,
trial_0019,L2_temporal_psi0,100.0,0.1436502453846546,,
trial_0019,L4_current_m3,100.0,0.14387859626139168,,
trial_0019,L4_current_m3,0.1,0.1587406471341498,,
trial_0019,L4_current_m3,0.01,0.15877050598601855,,
trial_0019,L4_current_m3,0.001,0.1587744424217455,,
trial_0019,L4_current_m3,1.0,0.15901892814754523,,
trial_0019,L4_current_m3,10.0,0.1627120885639051,,
trial_0019,L2_temporal_psi0,10.0,0.17693083390202788,,
trial_0019,L2_temporal_psi0,1.0,0.19111841716398223,,
trial_0019,L2_temporal_psi0,0.1,0.1935223600939329,,
trial_0019,L2_temporal_psi0,0.01,0.19379655283305544,,
trial_0019,L2_temporal_psi0,0.001,0.19382443589760381,,
trial_0019,SELECTED,10.0,0.11722088327229455,L3_temporal_plate,"{'StrongLocal_star': 10.0, 'H_star': 10.0, 'F_star': 10.0, 'P_star': 10.0}"
trial_0020,L3_temporal_plate,10.0,0.10519397630965435,,
trial_0020,L3_temporal_plate,1.0,0.10595609160344008,,
trial_0020,L1_temporal,10.0,0.10692414271682975,,
trial_0020,L3_temporal_plate,0.1,0.10730936207816774,,
trial_0020,L0_kinematic,10.0,0.1073749499505391,,
trial_0020,L3_temporal_plate,0.01,0.10751541759338018,,
trial_0020,L3_temporal_plate,0.001,0.10753702517351889,,
trial_0020,L0_kinematic,1.0,0.1095232825961562,,
trial_0020,L1_temporal,1.0,0.10971178694058317,,
trial_0020,L1_temporal,100.0,0.11024663485939104,,
trial_0020,L0_kinematic,0.1,0.11034637246194973,,
trial_0020,L0_kinematic,0.01,0.1104489957298478,,
trial_0020,L0_kinematic,0.001,0.11045951469431564,,
trial_0020,L1_temporal,0.1,0.11065304424651734,,
trial_0020,L1_temporal,0.01,0.11076903735977225,,
trial_0020,L1_temporal,0.001,0.11078091394899046,,
trial_0020,L3_temporal_plate,100.0,0.1111410582905728,,
trial_0020,L0_kinematic,100.0,0.11186664198852093,,
trial_0020,L2_temporal_psi0,100.0,0.13187128238047177,,
trial_0020,L4_current_m3,100.0,0.13211760571059403,,
trial_0020,L4_current_m3,0.1,0.14518118691987036,,
trial_0020,L4_current_m3,0.01,0.14521203875785565,,
trial_0020,L4_current_m3,0.001,0.1452158393536505,,
trial_0020,L4_current_m3,1.0,0.1453298630000533,,
trial_0020,L4_current_m3,10.0,0.14839633231870553,,
trial_0020,L2_temporal_psi0,10.0,0.1543272149375478,,
trial_0020,L2_temporal_psi0,1.0,0.16101146805784405,,
trial_0020,L2_temporal_psi0,0.1,0.16208456676435276,,
trial_0020,L2_temporal_psi0,0.01,0.16220466944383324,,
trial_0020,L2_temporal_psi0,0.001,0.16221684114199184,,
trial_0020,SELECTED,10.0,0.10519397630965435,L3_temporal_plate,"{'StrongLocal_star': 10.0, 'H_star': 1.0, 'F_star': 10.0, 'P_star': 10.0}"
