model,grouping,group,n_frames,n_bites,circular_rmse,circular_mae,delta_rmse,psi_dot_rmse,frame_circular_rmse,frame_circular_mae
M4_history,take,trial_0017,3846,15,0.11786375300087966,0.09475427968031397,0.115626392585143,0.4195989887022326,0.115626392585143,0.09206075843193634
M4_history,take,trial_0019,6491,26,0.10412955625041911,0.07960064845783729,0.1039983016523576,0.4805264404788954,0.1039983016523576,0.0793303407193029
M4_history,take,trial_0020,4567,19,0.1580094362673065,0.11275268896235104,0.149318192855722,0.465874714748636,0.149318192855722,0.10503255780289719
M5_future,overall,overall,32216,127,0.1742339912762725,0.10430549992428614,0.16598930582623228,0.40733005699309505,0.16598930582623228,0.10040699151322895
M5_future,phase,transfer,18107,125,0.19137644245496432,0.10116361643283864,0.1803819746818953,0.30897469247804826,0.1803819746818953,0.09524626613802853
M5_future,phase,withdrawal,14109,127,0.14269047923616882,0.10395555408882888,0.14544623800427026,0.506600123535444,0.14544623800427026,0.10703008701034099
M5_future,take,trial_0012,4327,15,0.11413732043129592,0.07966619261407176,0.11199827315475368,0.5422269757849905,0.11199827315475368,0.07750389031556594
M5_future,take,trial_0013,2756,12,0.08819553828612502,0.06324977245119179,0.08621231305372652,0.42786083761938326,0.08621231305372652,0.061440983100456176
M5_future,take,trial_0014,4670,21,0.3312315159242943,0.1897282433057962,0.32775672066360556,0.3442894471177469,0.32775672066360556,0.18802581486722078
M5_future,take,trial_0015,5559,19,0.12212608783004034,0.09222215546972073,0.12288390482487184,0.29940109266733766,0.12288390482487184,0.0933737900928419
M5_future,take,trial_0017,3846,15,0.11540528467390467,0.09029667222239465,0.11437253548725469,0.37059262547800087,0.11437253548725469,0.08884315630270143
M5_future,take,trial_0019,6491,26,0.10172600708014681,0.07713661938904894,0.10191463060643675,0.42422729531117553,0.10191463060643675,0.07703253307910538
M5_future,take,trial_0020,4567,19,0.16390613214237226,0.11559432005059761,0.1548602998749078,0.42361249442538784,0.1548602998749078,0.10754686881041833
M6_full_plan,overall,overall,32216,127,0.13870597180005742,0.10003522179244027,0.13397529659119406,0.4258187499776912,0.13397529659119406,0.09714005601836138
M6_full_plan,phase,transfer,18107,125,0.1331840111861504,0.09292573017272016,0.12715171365687694,0.3363021112162958,0.12715171365687694,0.08925007791851082
M6_full_plan,phase,withdrawal,14109,127,0.14232703098826227,0.10785706941396216,0.1422536757028103,0.518821661496229,0.1422536757028103,0.10726577956035546
M6_full_plan,take,trial_0012,4327,15,0.1235595713112052,0.10099144156211096,0.12132911687500803,0.5334949899901898,0.12132911687500803,0.09856843226070348
M6_full_plan,take,trial_0013,2756,12,0.08923361056954346,0.06375502863025855,0.0880073278360762,0.4567122579314427,0.0880073278360762,0.06256550746665068
M6_full_plan,take,trial_0014,4670,21,0.20454164718358617,0.13953710195200317,0.20160154582228607,0.441710749362373,0.20160154582228604,0.13808101409337858
M6_full_plan,take,trial_0015,5559,19,0.11292726940599876,0.08434199587286997,0.1122988558051321,0.3218085428941463,0.1122988558051321,0.08348236149185922
M6_full_plan,take,trial_0017,3846,15,0.11560906535456641,0.09767661343753124,0.11509146450127723,0.38887393436069123,0.11509146450127723,0.09674315088766909
M6_full_plan,take,trial_0019,6491,26,0.10516983966295307,0.08390378511194482,0.1050626822507639,0.39698945658807316,0.10506268225076389,0.08357476852807685
M6_full_plan,take,trial_0020,4567,19,0.16381940538038892,0.11816402755763247,0.15569832793060642,0.4544460689622487,0.15569832793060642,0.11102542928362859
P_star,overall,overall,32216,127,0.11917523041220184,0.0889359451264178,0.11839557399015041,0.40348296312262977,0.11839557399015041,0.08813225339732432
P_star,phase,transfer,18107,125,0.09272926810067239,0.07318613370844,0.09148130155547345,0.2957846875588902,0.09148130155547345,0.07206483620855988
P_star,phase,withdrawal,14109,127,0.14363422918482285,0.10681844653966344,0.14583153228016105,0.5096859032578893,0.14583153228016105,0.10875261791904507
P_star,take,trial_0012,4327,15,0.13756537036623545,0.11158759268552447,0.13562054552140224,0.48153502902185974,0.1356205455214022,0.10965882036572537
P_star,take,trial_0013,2756,12,0.10359735008872181,0.07488689987512821,0.09912941110970515,0.5049629084501904,0.09912941110970513,0.07169844902397685
P_star,take,trial_0014,4670,21,0.09940857693214267,0.07880476149276368,0.09910836089983889,0.39019789873274446,0.09910836089983889,0.07882095471074817
P_star,take,trial_0015,5559,19,0.14129014687245722,0.10261047950834166,0.1407763031170672,0.28367833025490263,0.1407763031170672,0.1023808704785668
P_star,take,trial_0017,3846,15,0.12203875098556437,0.09902549966503363,0.11873383309717346,0.30572253613990447,0.11873383309717346,0.09575479868981522
P_star,take,trial_0019,6491,26,0.09329440694141969,0.0680897453964237,0.0928422598474878,0.4099120061295733,0.0928422598474878,0.06738207183713392
P_star,take,trial_0020,4567,19,0.13660827288910182,0.09801017710429485,0.13128068616312358,0.45110202890203077,0.13128068616312358,0.09290451777320216
StrongLocal_star,overall,overall,32216,127,0.11389407024933355,0.0860674842009063,0.11230825457690834,0.4278332555402884,0.11230825457690834,0.08488807091328371
StrongLocal_star,phase,transfer,18107,125,0.09361702403767454,0.07300964816998845,0.09210655088931095,0.3356790563214845,0.09210655088931095,0.0717062032266068
StrongLocal_star,phase,withdrawal,14109,127,0.13348192126670455,0.10085822417127586,0.13383884274820906,0.5231150074732989,0.13383884274820906,0.10180522154073132
StrongLocal_star,take,trial_0012,4327,15,0.14238925776747355,0.12443961200305152,0.14052058931113484,0.652239527297664,0.14052058931113484,0.12263472073233764
StrongLocal_star,take,trial_0013,2756,12,0.08772242739683192,0.06374113027074661,0.0848173324570168,0.3863022045752558,0.0848173324570168,0.06112824815763699
StrongLocal_star,take,trial_0014,4670,21,0.10114435783496367,0.07918569305317982,0.10102821698780759,0.4245950951936689,0.10102821698780759,0.07919220176806524
StrongLocal_star,take,trial_0015,5559,19,0.10695796892204061,0.07639834201971499,0.10665338534750804,0.26573699897815056,0.10665338534750804,0.07663092124561406
StrongLocal_star,take,trial_0017,3846,15,0.11916719179675563,0.09378669398384541,0.11575194465498162,0.3043059440221218,0.11575194465498162,0.08995511523167701
StrongLocal_star,take,trial_0019,6491,26,0.09686622275599527,0.07330721875093989,0.09661168548575783,0.41037596060765863,0.09661168548575783,0.07286715813351644
StrongLocal_star,take,trial_0020,4567,19,0.13799256185674844,0.09851718949720467,0.1307389536773795,0.4580961621302883,0.1307389536773795,0.09215617121177076
