model,parent_bite_id,take,phase,circular_mae,circular_rmse,n_frames
F_star,trial_0015_bite_008,trial_0015,withdrawal,0.13140968133710587,0.13431658054076367,227
F_star,trial_0015_bite_009,trial_0015,transfer,0.08300705363140029,0.09023371062537089,158
F_star,trial_0015_bite_009,trial_0015,withdrawal,0.18688186490068995,0.2415421727370479,183
F_star,trial_0015_bite_010,trial_0015,transfer,0.05193964863189399,0.05955954591255641,150
F_star,trial_0015_bite_010,trial_0015,withdrawal,0.12831178630111395,0.16296998221646813,131
F_star,trial_0015_bite_011,trial_0015,transfer,0.02438819862952798,0.029611987212186566,126
F_star,trial_0015_bite_011,trial_0015,withdrawal,0.11744829698121588,0.15326724570237674,124
F_star,trial_0015_bite_012,trial_0015,transfer,0.020715532869548123,0.022084828098780748,44
F_star,trial_0015_bite_012,trial_0015,withdrawal,0.06861017412787546,0.07595678684735778,129
F_star,trial_0015_bite_013,trial_0015,transfer,0.052262883376572554,0.058781487213239815,146
F_star,trial_0015_bite_013,trial_0015,withdrawal,0.06488129453712202,0.08006049149078122,183
F_star,trial_0015_bite_014,trial_0015,transfer,0.03545580571982803,0.04157028460406168,116
F_star,trial_0015_bite_014,trial_0015,withdrawal,0.09596562010199662,0.12632670675139818,138
F_star,trial_0015_bite_015,trial_0015,transfer,0.05069661037467025,0.05856892730140528,110
F_star,trial_0015_bite_015,trial_0015,withdrawal,0.10374296436336973,0.1122854513084658,169
F_star,trial_0015_bite_016,trial_0015,transfer,0.052313927020129096,0.05964855510744627,156
F_star,trial_0015_bite_016,trial_0015,withdrawal,0.07913115104043043,0.09813327242058179,156
F_star,trial_0015_bite_017,trial_0015,transfer,0.0810180391389866,0.08160787666552098,160
F_star,trial_0015_bite_017,trial_0015,withdrawal,0.0837441532200219,0.0966671772648911,178
F_star,trial_0015_bite_018,trial_0015,transfer,0.04062828609334955,0.04171216543479814,151
F_star,trial_0015_bite_018,trial_0015,withdrawal,0.12164491428687263,0.12533504898266937,178
F_star,trial_0015_bite_019,trial_0015,transfer,0.07270792730181469,0.07620847593471718,185
F_star,trial_0015_bite_019,trial_0015,withdrawal,0.09873828389049442,0.11908954705136075,149
F_star,trial_0017_bite_001,trial_0017,transfer,0.10806113163308538,0.11869132100352348,219
F_star,trial_0017_bite_001,trial_0017,withdrawal,0.062432211436696354,0.07900453010186524,129
F_star,trial_0017_bite_002,trial_0017,transfer,0.2251092116928356,0.2407420288844593,167
F_star,trial_0017_bite_002,trial_0017,withdrawal,0.04604361164780159,0.06164531296879689,90
F_star,trial_0017_bite_003,trial_0017,transfer,0.10631843948197568,0.11015786860673983,119
F_star,trial_0017_bite_003,trial_0017,withdrawal,0.05098896026087066,0.06521436453430492,100
F_star,trial_0017_bite_004,trial_0017,transfer,0.1449403442384313,0.1477932950731859,103
F_star,trial_0017_bite_004,trial_0017,withdrawal,0.05977082253623166,0.0747344742395871,93
F_star,trial_0017_bite_005,trial_0017,transfer,0.028616355524211125,0.03517754125656619,190
F_star,trial_0017_bite_005,trial_0017,withdrawal,0.034043428119408435,0.037851032742597594,79
F_star,trial_0017_bite_006,trial_0017,transfer,0.09219104908079434,0.09676552138318385,160
F_star,trial_0017_bite_006,trial_0017,withdrawal,0.06888507403647738,0.07307090685854498,108
F_star,trial_0017_bite_007,trial_0017,transfer,0.12449411995141002,0.13757667249361955,156
F_star,trial_0017_bite_007,trial_0017,withdrawal,0.1450721633518151,0.17772376193635203,64
F_star,trial_0017_bite_008,trial_0017,transfer,0.13656399567658228,0.13679316401238872,49
F_star,trial_0017_bite_008,trial_0017,withdrawal,0.08818787711437652,0.11822155800325762,74
F_star,trial_0017_bite_009,trial_0017,transfer,0.05277105808905762,0.06034337884217183,233
F_star,trial_0017_bite_009,trial_0017,withdrawal,0.1610192178702552,0.1854866054640913,70
F_star,trial_0017_bite_010,trial_0017,transfer,0.06576983969775951,0.07761909137106457,178
F_star,trial_0017_bite_010,trial_0017,withdrawal,0.2065894873699403,0.21843771116369273,73
F_star,trial_0017_bite_011,trial_0017,transfer,0.12757971878786276,0.13224887440291425,120
F_star,trial_0017_bite_011,trial_0017,withdrawal,0.1697461810029998,0.19823637769135036,71
F_star,trial_0017_bite_012,trial_0017,transfer,0.07920527739398704,0.08919294834725228,176
F_star,trial_0017_bite_012,trial_0017,withdrawal,0.18523116106156404,0.20961368057904012,68
F_star,trial_0017_bite_013,trial_0017,transfer,0.05560690886240814,0.07822675674479466,90
F_star,trial_0017_bite_013,trial_0017,withdrawal,0.06902054931858673,0.08034997086054273,79
F_star,trial_0017_bite_014,trial_0017,transfer,0.07319484586758782,0.0882275637590778,232
F_star,trial_0017_bite_014,trial_0017,withdrawal,0.07929562138812929,0.10450982028768091,149
F_star,trial_0017_bite_015,trial_0017,transfer,0.050174421716299766,0.05722497219043108,332
F_star,trial_0017_bite_015,trial_0017,withdrawal,0.09111718795949329,0.1287822479877263,75
F_star,trial_0019_bite_001,trial_0019,transfer,0.02929730360137956,0.031807293389726196,106
F_star,trial_0019_bite_001,trial_0019,withdrawal,0.08496791522984137,0.10334834308383428,91
F_star,trial_0019_bite_002,trial_0019,transfer,0.02583963456171314,0.029893917626633005,124
F_star,trial_0019_bite_002,trial_0019,withdrawal,0.11536367688113609,0.1281716297444463,102
F_star,trial_0019_bite_003,trial_0019,transfer,0.05482545168204573,0.06060489335575325,115
F_star,trial_0019_bite_003,trial_0019,withdrawal,0.0849840966298079,0.1010322132667225,93
F_star,trial_0019_bite_004,trial_0019,transfer,0.06566097932998201,0.07184508772851562,113
F_star,trial_0019_bite_004,trial_0019,withdrawal,0.09799898347117186,0.10679023077431476,90
F_star,trial_0019_bite_005,trial_0019,transfer,0.038282720742840025,0.04126424986618248,128
F_star,trial_0019_bite_005,trial_0019,withdrawal,0.1548669408942027,0.16929977487476325,156
F_star,trial_0019_bite_006,trial_0019,transfer,0.060857813521657145,0.06315392492207693,110
F_star,trial_0019_bite_006,trial_0019,withdrawal,0.21302117427822803,0.22775101708428622,116
F_star,trial_0019_bite_007,trial_0019,transfer,0.1161232206236673,0.13216658696952124,114
F_star,trial_0019_bite_007,trial_0019,withdrawal,0.15242268359835306,0.15976020999269838,99
F_star,trial_0019_bite_008,trial_0019,transfer,0.08502705540362684,0.09094060634645901,136
F_star,trial_0019_bite_008,trial_0019,withdrawal,0.17382893306221156,0.20306769463300609,113
F_star,trial_0019_bite_009,trial_0019,transfer,0.044455466318990645,0.04757847909055936,133
F_star,trial_0019_bite_009,trial_0019,withdrawal,0.13623449543201296,0.15289631243671287,108
F_star,trial_0019_bite_010,trial_0019,transfer,0.03246457740352795,0.040402280035055936,137
F_star,trial_0019_bite_010,trial_0019,withdrawal,0.08637050755076794,0.0989537131760477,99
F_star,trial_0019_bite_011,trial_0019,transfer,0.06172811982239413,0.07123992937145517,176
F_star,trial_0019_bite_011,trial_0019,withdrawal,0.18430632182000833,0.20577153752361013,104
F_star,trial_0019_bite_012,trial_0019,transfer,0.04473601688061485,0.04801131680607871,116
F_star,trial_0019_bite_012,trial_0019,withdrawal,0.028578666400855313,0.03396231411745695,113
F_star,trial_0019_bite_013,trial_0019,transfer,0.017252756563431525,0.022541724647682834,140
F_star,trial_0019_bite_013,trial_0019,withdrawal,0.09713318908735584,0.12089785916464468,113
F_star,trial_0019_bite_014,trial_0019,transfer,0.11286577711827296,0.11674880434032088,178
F_star,trial_0019_bite_014,trial_0019,withdrawal,0.08674959396915081,0.11623981759529438,115
F_star,trial_0019_bite_015,trial_0019,transfer,0.06114243444984147,0.06445881319178648,130
F_star,trial_0019_bite_015,trial_0019,withdrawal,0.0587980771375087,0.06891155440125964,106
F_star,trial_0019_bite_016,trial_0019,transfer,0.05318715705187444,0.054882460414333326,151
F_star,trial_0019_bite_016,trial_0019,withdrawal,0.06689065570193756,0.07480137601473547,99
F_star,trial_0019_bite_017,trial_0019,transfer,0.09164157535836773,0.0944046052245161,135
F_star,trial_0019_bite_017,trial_0019,withdrawal,0.06006984234922974,0.0725041418274804,106
F_star,trial_0019_bite_018,trial_0019,transfer,0.02048467211075113,0.02223376797236765,133
F_star,trial_0019_bite_018,trial_0019,withdrawal,0.05225704738527926,0.060584689949992596,111
F_star,trial_0019_bite_019,trial_0019,transfer,0.1344074160229054,0.14318895252342423,143
F_star,trial_0019_bite_019,trial_0019,withdrawal,0.04796397182737313,0.057577295361962766,97
F_star,trial_0019_bite_020,trial_0019,transfer,0.02499911921941558,0.028080365472047553,185
F_star,trial_0019_bite_020,trial_0019,withdrawal,0.037424668919755516,0.043374668520550594,135
F_star,trial_0019_bite_021,trial_0019,transfer,0.044612074656305026,0.04505699308055989,178
F_star,trial_0019_bite_021,trial_0019,withdrawal,0.0441381870497012,0.05678050711113975,116
F_star,trial_0019_bite_022,trial_0019,transfer,0.019568569008562537,0.02430239835983603,140
F_star,trial_0019_bite_022,trial_0019,withdrawal,0.07773754627042527,0.08838895040179214,108
F_star,trial_0019_bite_023,trial_0019,transfer,0.06425705880187016,0.06514175229026595,140
F_star,trial_0019_bite_023,trial_0019,withdrawal,0.061564034632457444,0.06892355361388232,113
F_star,trial_0019_bite_024,trial_0019,transfer,0.116833214831158,0.12026672788613568,151
F_star,trial_0019_bite_024,trial_0019,withdrawal,0.17005540681524547,0.2043214670384622,113
F_star,trial_0019_bite_025,trial_0019,transfer,0.05882822168852562,0.06143147948649655,186
F_star,trial_0019_bite_025,trial_0019,withdrawal,0.04299885564489401,0.04890936916695448,108
F_star,trial_0019_bite_026,trial_0019,transfer,0.0564226839949627,0.05855102229547078,149
F_star,trial_0019_bite_026,trial_0019,withdrawal,0.16775158742864318,0.20315315242544427,120
F_star,trial_0020_bite_001,trial_0020,transfer,0.07924509840804034,0.09048387168568241,126
F_star,trial_0020_bite_001,trial_0020,withdrawal,0.11250886948780607,0.13218449613417912,96
F_star,trial_0020_bite_002,trial_0020,transfer,0.06424036637040195,0.08108669838390115,165
F_star,trial_0020_bite_002,trial_0020,withdrawal,0.1923991132675524,0.23959811990420263,113
F_star,trial_0020_bite_003,trial_0020,transfer,0.04541193152933405,0.049043203359796506,120
F_star,trial_0020_bite_003,trial_0020,withdrawal,0.08980118173519355,0.11694668537888997,76
F_star,trial_0020_bite_004,trial_0020,transfer,0.047935159148731483,0.05244320072950511,151
F_star,trial_0020_bite_004,trial_0020,withdrawal,0.12186739738928165,0.14671836616752887,97
F_star,trial_0020_bite_005,trial_0020,transfer,0.015593299398122254,0.02039722773854269,148
F_star,trial_0020_bite_005,trial_0020,withdrawal,0.06780368097109468,0.08343955619492706,104
F_star,trial_0020_bite_006,trial_0020,transfer,0.04122885251589814,0.04443508834237399,113
F_star,trial_0020_bite_006,trial_0020,withdrawal,0.12534627397102588,0.1723868293168025,62
F_star,trial_0020_bite_007,trial_0020,transfer,0.12080527799231908,0.1374407068049031,113
F_star,trial_0020_bite_007,trial_0020,withdrawal,0.07815099115603247,0.09939936735787885,98
F_star,trial_0020_bite_008,trial_0020,transfer,0.07764818621141127,0.0900917523031243,142
F_star,trial_0020_bite_008,trial_0020,withdrawal,0.09456430438444226,0.11226930236709322,100
F_star,trial_0020_bite_009,trial_0020,transfer,0.07802281702590323,0.08663247136160403,131
F_star,trial_0020_bite_009,trial_0020,withdrawal,0.09893123764272187,0.12780389584192484,111
F_star,trial_0020_bite_010,trial_0020,transfer,0.062441576504423835,0.07223535927091938,147
F_star,trial_0020_bite_010,trial_0020,withdrawal,0.12151828095190155,0.1736722294537011,102
F_star,trial_0020_bite_011,trial_0020,transfer,0.06826048037273905,0.07935422478539135,162
F_star,trial_0020_bite_011,trial_0020,withdrawal,0.08275630684826316,0.0878539698659058,100
F_star,trial_0020_bite_012,trial_0020,transfer,0.08724588374428353,0.09798571963684269,120
F_star,trial_0020_bite_012,trial_0020,withdrawal,0.2050546015144381,0.2400035541731203,124
F_star,trial_0020_bite_013,trial_0020,transfer,0.029932996969774587,0.032499184677554985,143
F_star,trial_0020_bite_013,trial_0020,withdrawal,0.16040945432957848,0.19486608294964192,149
F_star,trial_0020_bite_014,trial_0020,transfer,0.04516407979021777,0.05233813609716352,149
F_star,trial_0020_bite_014,trial_0020,withdrawal,0.16606165496351682,0.2050657127579307,117
F_star,trial_0020_bite_015,trial_0020,transfer,0.04609061528636729,0.06045881903556283,323
F_star,trial_0020_bite_015,trial_0020,withdrawal,0.17585137979857246,0.23964086861378184,104
F_star,trial_0020_bite_016,trial_0020,transfer,0.026018555645603868,0.03484745507951303,163
F_star,trial_0020_bite_016,trial_0020,withdrawal,0.11433825372751136,0.1451706433713013,95
F_star,trial_0020_bite_017,trial_0020,withdrawal,0.12941733090674964,0.17602123771231448,104
F_star,trial_0020_bite_018,trial_0020,transfer,0.014082220911940339,0.015691235002939553,201
F_star,trial_0020_bite_018,trial_0020,withdrawal,0.154240781688193,0.2242250989662319,108
F_star,trial_0020_bite_019,trial_0020,withdrawal,0.24767664995812874,0.2711239957418954,90
H_star,trial_0012_bite_001,trial_0012,transfer,0.15538033270257304,0.160180760117049,144
H_star,trial_0012_bite_001,trial_0012,withdrawal,0.11535785689104198,0.13140071351633079,102
H_star,trial_0012_bite_002,trial_0012,transfer,0.08085650604291532,0.08850473208741302,188
H_star,trial_0012_bite_002,trial_0012,withdrawal,0.12189198385701804,0.12834664672138874,113
H_star,trial_0012_bite_003,trial_0012,transfer,0.17570790684281526,0.19429284782772377,146
H_star,trial_0012_bite_003,trial_0012,withdrawal,0.12843891602928167,0.15329051840149455,99
H_star,trial_0012_bite_004,trial_0012,transfer,0.11997017226890722,0.14211698647781051,147
H_star,trial_0012_bite_004,trial_0012,withdrawal,0.11116573683299961,0.11629286089522332,140
H_star,trial_0012_bite_005,trial_0012,transfer,0.21876520952169826,0.2293755928212957,122
H_star,trial_0012_bite_005,trial_0012,withdrawal,0.09257283166490216,0.11381584696436185,137
H_star,trial_0012_bite_006,trial_0012,transfer,0.07987680083334164,0.09395714401829303,157
H_star,trial_0012_bite_006,trial_0012,withdrawal,0.07621199554681979,0.09176010563281614,131
H_star,trial_0012_bite_007,trial_0012,transfer,0.2012062694900439,0.2163921426117271,133
H_star,trial_0012_bite_007,trial_0012,withdrawal,0.1764201026052721,0.1864137241304227,140
H_star,trial_0012_bite_008,trial_0012,transfer,0.10768573679690553,0.11560352121796177,168
H_star,trial_0012_bite_008,trial_0012,withdrawal,0.11105296173476653,0.12461818593135109,98
H_star,trial_0012_bite_009,trial_0012,transfer,0.11118387446678922,0.11924311862339816,230
H_star,trial_0012_bite_009,trial_0012,withdrawal,0.15400646601022064,0.16806446173638082,138
H_star,trial_0012_bite_010,trial_0012,transfer,0.09130625015334587,0.10331361672572123,152
H_star,trial_0012_bite_010,trial_0012,withdrawal,0.15248524205146102,0.19076749088158304,99
H_star,trial_0012_bite_011,trial_0012,transfer,0.04576189850164078,0.05243384976684398,205
H_star,trial_0012_bite_011,trial_0012,withdrawal,0.16363560287027984,0.1711636653044463,175
H_star,trial_0012_bite_012,trial_0012,transfer,0.04964604298077506,0.05694879034225427,180
H_star,trial_0012_bite_012,trial_0012,withdrawal,0.16220059616143376,0.17718145215282766,97
H_star,trial_0012_bite_013,trial_0012,transfer,0.07147129687557532,0.07972222889033237,204
H_star,trial_0012_bite_013,trial_0012,withdrawal,0.10005084997836441,0.12352412933662055,120
H_star,trial_0012_bite_014,trial_0012,transfer,0.0689670789399365,0.08068246386601986,176
H_star,trial_0012_bite_014,trial_0012,withdrawal,0.2243348690252183,0.22578478226532353,120
H_star,trial_0012_bite_015,trial_0012,transfer,0.12774396598930066,0.1513295062762476,151
H_star,trial_0012_bite_015,trial_0012,withdrawal,0.15483005647651232,0.15818334326884037,115
H_star,trial_0013_bite_001,trial_0013,transfer,0.017485439918089297,0.019822433907568666,124
H_star,trial_0013_bite_001,trial_0013,withdrawal,0.23439489624106044,0.26347221658154746,85
H_star,trial_0013_bite_002,trial_0013,transfer,0.051447467489822776,0.06235411489737252,131
H_star,trial_0013_bite_002,trial_0013,withdrawal,0.066624004516449,0.08448808644291392,116
H_star,trial_0013_bite_003,trial_0013,transfer,0.03415892367183861,0.043224850332272316,164
H_star,trial_0013_bite_003,trial_0013,withdrawal,0.1441840939735955,0.1680916449171686,94
H_star,trial_0013_bite_004,trial_0013,transfer,0.05214070894451395,0.05223358631633649,20
H_star,trial_0013_bite_004,trial_0013,withdrawal,0.11216244133155243,0.13802881208602433,71
H_star,trial_0013_bite_005,trial_0013,transfer,0.04254826257308134,0.04458758291389612,88
H_star,trial_0013_bite_005,trial_0013,withdrawal,0.188224198959657,0.19856832209348507,81
H_star,trial_0013_bite_006,trial_0013,transfer,0.051659075541569,0.057347916415272454,158
H_star,trial_0013_bite_006,trial_0013,withdrawal,0.06337457301537196,0.07135651344949871,142
H_star,trial_0013_bite_007,trial_0013,transfer,0.04664129217513206,0.04728917944032317,39
H_star,trial_0013_bite_007,trial_0013,withdrawal,0.056852882237921655,0.0645065888331709,136
H_star,trial_0013_bite_008,trial_0013,transfer,0.04252552245848837,0.05013680546133897,198
H_star,trial_0013_bite_008,trial_0013,withdrawal,0.02435286658494998,0.029870123184293777,85
H_star,trial_0013_bite_009,trial_0013,transfer,0.0523016382588773,0.061521753998936723,158
H_star,trial_0013_bite_009,trial_0013,withdrawal,0.09249365898219793,0.10147745621575904,108
H_star,trial_0013_bite_010,trial_0013,transfer,0.054830159229994554,0.06574507865640658,135
H_star,trial_0013_bite_010,trial_0013,withdrawal,0.1226761031303232,0.12610488050435717,140
