comparison,phase,metric,difference_a_minus_b,ci_low,ci_high,support_bites,status
StrongLocal-B3,withdrawal,difference_rms_jerk_a_minus_b,129.61075775685606,-224.4649255072918,480.8741773873709,127,OK
StrongLocal-B3,withdrawal,difference_min_margin_a_minus_b,0.010185649041350959,0.007583878508082672,0.013011189445193897,127,OK
StrongLocal-B3,withdrawal,difference_min_jp_sigma_a_minus_b,0.00035105851154592233,0.00020544428625773049,0.0004967891062315735,127,OK
StrongLocal-B3,withdrawal,difference_min_jr_sigma_a_minus_b,6.745880440800795e-05,-0.0007463914953358131,0.0010773074690611495,127,OK
StrongLocal-B3,withdrawal,difference_violations_a_minus_b,-0.007874015748031496,-0.06299212598425197,0.03937007874015748,127,OK
StrongLocal-B3,withdrawal,difference_psi_mae_a_minus_b,0.0006141330405224874,-0.002656116029528717,0.004155248035921563,127,OK
StrongLocal-B3,withdrawal,difference_elbow_mean_a_minus_b,0.00022851011695432374,-0.0007180005745672426,0.0012607473479051019,127,OK
StrongLocal-H_star,overall,difference_travel_a_minus_b,-0.11082798971604615,-0.13223855022140757,-0.08967962100394576,127,OK
StrongLocal-H_star,overall,difference_rms_velocity_a_minus_b,-0.013264587655766331,-0.021475492155699945,-0.0040171824158022965,127,OK
StrongLocal-H_star,overall,difference_rms_acceleration_a_minus_b,-8.032042322458839,-9.08209593083541,-6.998308754458815,127,OK
StrongLocal-H_star,overall,difference_rms_jerk_a_minus_b,-1519.8988607593972,-1709.2120013022118,-1330.938423137379,127,OK
StrongLocal-H_star,overall,difference_min_margin_a_minus_b,0.0014129624393807694,-0.00014959790064098427,0.002956759282598444,127,OK
StrongLocal-H_star,overall,difference_min_jp_sigma_a_minus_b,4.760684966958569e-06,-0.0001036686954420045,0.00011079459609617577,127,OK
StrongLocal-H_star,overall,difference_min_jr_sigma_a_minus_b,4.5115458325574986e-05,-0.0005928032638914793,0.0008295088043857167,127,OK
StrongLocal-H_star,overall,difference_violations_a_minus_b,0.01968503937007874,-0.007874015748031496,0.047244094488188976,127,OK
StrongLocal-H_star,overall,difference_psi_mae_a_minus_b,0.0025841524174834243,0.0007777249311425564,0.0043436439921035195,127,OK
StrongLocal-H_star,overall,difference_elbow_mean_a_minus_b,0.0005594038278716367,8.447533253171932e-05,0.0010334024488098616,127,OK
StrongLocal-H_star,transfer,difference_travel_a_minus_b,-0.11687870228070027,-0.1406041584074806,-0.09173760362904457,127,OK
StrongLocal-H_star,transfer,difference_rms_velocity_a_minus_b,-0.017220157542762043,-0.03090936273703764,-0.001141181158161616,125,OK
StrongLocal-H_star,transfer,difference_rms_acceleration_a_minus_b,-8.755100492875611,-10.195339953853157,-7.30374334122332,125,OK
