strategy,jp_sigma_min,jp_sigma_p05,jp_sigma_median,jp_sigma_p95,jp_cond_min,jp_cond_p05,jp_cond_median,jp_cond_p95,jr_sigma_min,jr_sigma_p05,jr_sigma_median,jr_sigma_p95,jr_cond_min,jr_cond_p05,jr_cond_median,jr_cond_p95,scope,support_bites,support_success_frames,row_scope,comparison,strategy_a,strategy_b,pair_common_success_frames,pair_clean_frames,pair_clean_intervals,a_min_jp_sigma,b_min_jp_sigma,a_min_jr_sigma,b_min_jr_sigma
B2,0.22498635929589464,0.22928376598424147,0.2602160208656866,0.27542584737279413,2.4426439970020906,2.4514100743428715,2.73480609315268,3.428632040102087,1.3294412922696714,1.3359294794369407,1.360984002021288,1.3928299280144836,1.2389448152320035,1.2422658179278934,1.2725382317322302,1.3033735082814246,transfer,127,17182.0,single_strategy,,,,,,,,,,
B3,0.22506771513099752,0.2293574625386184,0.2598240360261075,0.2746880758158023,2.4449672222077816,2.4538826231866904,2.7368617942004065,3.4264913185256547,1.3284071585502752,1.3350716373257294,1.3618082972416017,1.3941726657783886,1.237724405005508,1.2411987909491693,1.2718243849460316,1.304109352031523,transfer,127,17183.0,single_strategy,,,,,,,,,,
H_star,0.225647573163939,0.22982207334335544,0.25997623321790514,0.2746862799951907,2.446124537375682,2.45512247237986,2.7361637327189046,3.4226300442478306,1.3245705389931346,1.3321508160233706,1.361534069332803,1.3944701486029354,1.2373632488216308,1.2407623884045096,1.2720816059054065,1.306636360174963,transfer,127,17184.0,single_strategy,,,,,,,,,,
HumanGT,0.2252240142241387,0.2295710791583408,0.2595411227460209,0.27429802996852976,2.450242252085601,2.4589413275679664,2.740311438558682,3.4219345330044426,1.3274328388221608,1.3342949849951864,1.3633835695683614,1.3947374426782306,1.2379112390013416,1.2404859061379996,1.2703582628247527,1.305108215237867,transfer,127,17180.0,single_strategy,,,,,,,,,,
RobotSmooth,0.22945720374400005,0.2335026781565057,0.2635172958912384,0.2792606627055886,2.4297867965852915,2.4381830292591777,2.716406837062183,3.3793180073969777,1.3042757999289056,1.308921078245106,1.3429099934771875,1.3877498321997241,1.2446527024370688,1.2470925399464954,1.2895294289121348,1.3286189024349628,transfer,127,17273.0,single_strategy,,,,,,,,,,
StrongLocal,0.22553289447682548,0.22981288852413528,0.260330421499094,0.27508832195169763,2.4433797070792407,2.4521866937128634,2.733686886937252,3.42447394506722,1.3251683451306793,1.3318427472246468,1.360403987928184,1.3936735505773086,1.238497740634295,1.2416038416970752,1.2730995584293234,1.3068156789534016,transfer,127,17188.0,single_strategy,,,,,,,,,,
B0,0.22356178511716598,0.22726244341599686,0.26188547768708736,0.284838867397061,2.1924282970005438,2.2026758150049623,2.471349963013221,3.273847724340818,1.2939476418304705,1.2988104393581654,1.348538505674826,1.3822258984860898,1.2530430589092445,1.255708607066034,1.2882522444106108,1.3450911941118227,withdrawal,127,13714.0,single_strategy,,,,,,,,,,
B1,0.22459565566946355,0.22823685245752995,0.26375782651259233,0.2861092313551285,2.1973445287056683,2.2072486436598995,2.4595509233468844,3.2694813244414758,1.2926515057187717,1.2965353474414816,1.342760305188338,1.3785577269449114,1.2566658376715916,1.2594978970554076,1.2943315089468577,1.3490075644534092,withdrawal,127,13759.0,single_strategy,,,,,,,,,,
B2,0.22650426304443982,0.2301555463428741,0.26579269463418753,0.28601178570717767,2.1980446091301435,2.2081018290942325,2.443150226038622,3.2642554889441646,1.2940959841092727,1.298755122883679,1.3424093129598729,1.3772657702105309,1.2579992762328092,1.260660207321509,1.2957664940401474,1.3487852264937905,withdrawal,127,13991.0,single_strategy,,,,,,,,,,
B3,0.22613845870784874,0.2297410511941351,0.2658459249218131,0.28649381441718286,2.1991742762330593,2.2094552859686445,2.443843194380481,3.2669952289610444,1.2931494240348773,1.2987699307693172,1.3411176845483306,1.376915661589941,1.2580949098494927,1.2606896476293088,1.297179246677957,1.3499413306561516,withdrawal,127,13991.0,single_strategy,,,,,,,,,,
