strategy,travel,rms_velocity,p95_velocity,rms_acceleration,p95_acceleration,rms_jerk,p95_jerk,max_clean_step,violations,branch_changes,margin_min,margin_p05,margin_mean,margin_below_0.01,margin_below_0.05,margin_below_0.10,travel_edges,velocity_frames,acceleration_frames,jerk_frames,scope,support_bites,support_success_frames,row_scope,comparison,strategy_a,strategy_b,pair_common_success_frames,pair_clean_frames,pair_clean_intervals,a_travel,b_travel,a_rms_velocity,b_rms_velocity,a_rms_acceleration,b_rms_acceleration,a_rms_jerk,b_rms_jerk,a_min_margin,b_min_margin,a_violations,b_violations,pair_travel_edges,pair_velocity_frames,pair_acceleration_frames,pair_jerk_frames
,,,,,,,,,,,,,,,,,,,,,overall,127,,pairwise_support_c,StrongLocal-B3,StrongLocal,B3,31171.0,31131.0,30839.0,5.149038784209013,5.165848185383551,0.9580207087951871,0.9595845681092182,39.82734624581882,39.47570346614801,5964.565449578826,5799.473189059351,0.38697499124948986,0.37908026415962964,0.11811023622047244,0.11023622047244094,30839.0,30839.0,30536.0,30241.0
,,,,,,,,,,,,,,,,,,,,,transfer,127,,pairwise_support_c,StrongLocal-B3,StrongLocal,B3,17181.0,17162.0,17023.0,4.002477246284125,3.997363707688531,0.6734657715027645,0.6727467047648384,35.922219206223325,35.30671460595045,5414.944340918978,5213.802873592679,0.4515373069927985,0.4459701566056527,0.14173228346456693,0.11811023622047244,17023.0,17023.0,16878.0,16736.0
,,,,,,,,,,,,,,,,,,,,,withdrawal,127,,pairwise_support_c,StrongLocal-B3,StrongLocal,B3,13990.0,13969.0,13816.0,6.295600322133902,6.3343326630785715,1.2380944659727682,1.2419052997473872,43.670975221798656,43.57903895846843,6505.5311077086,6375.920349951743,0.32342940488796573,0.3132437558466147,0.09448818897637795,0.10236220472440945,13816.0,13816.0,13658.0,13505.0
,,,,,,,,,,,,,,,,,,,,,overall,127,,pairwise_support_c,StrongLocal-H_star,StrongLocal,H_star,31172.0,31135.0,30843.0,5.155876369237612,5.2667043589536595,0.9612557946951947,0.9746694776367832,40.14064875145112,48.25895317526272,5980.400486341096,7517.331312520386,0.38698629776565263,0.3855725981195991,0.11811023622047244,0.0984251968503937,30843.0,30843.0,30543.0,30250.0
,,,,,,,,,,,,,,,,,,,,,transfer,127,,pairwise_support_c,StrongLocal-H_star,StrongLocal,H_star,17183.0,17165.0,17026.0,4.012886574624616,4.129765276905318,0.6793494615224179,0.6965696190651801,36.41234306138897,45.16744355426457,5440.330312751676,7133.49221052111,0.4514314174352003,0.4490248154962258,0.14173228346456693,0.11023622047244094,17026.0,17026.0,16881.0,16737.0
,,,,,,,,,,,,,,,,,,,,,withdrawal,127,,pairwise_support_c,StrongLocal-H_star,StrongLocal,H_star,13989.0,13970.0,13817.0,6.298866163850608,6.403643441002002,1.2387226580542268,1.24838981087655,43.810240966079235,51.30177760537899,6511.965617826747,7895.125704251957,0.32355606187042857,0.3231196282607145,0.09448818897637795,0.08661417322834646,13817.0,13817.0,13662.0,13513.0
,,,,,,,,,,,,,,,,,,,,,overall,127,,pairwise_support_c,StrongLocal-HumanGT,StrongLocal,HumanGT,31050.0,31014.0,30720.0,5.1200546733938745,4.959606053508452,0.9524390498474197,0.9309533789873289,39.47200063704923,32.82985065881837,5924.640805991245,4504.718384987181,0.38807532968667663,0.39834687836878574,0.11811023622047244,0.07874015748031496,30720.0,30720.0,30421.0,30127.0
,,,,,,,,,,,,,,,,,,,,,transfer,127,,pairwise_support_c,StrongLocal-HumanGT,StrongLocal,HumanGT,17172.0,17152.0,17013.0,3.975983731457887,3.8186405255038918,0.6544677643711215,0.6439425522465658,34.86086002166224,29.53250231045385,5288.644339910948,4077.164345494538,0.4519694841640741,0.4502830447626226,0.14173228346456693,0.10236220472440945,17013.0,17013.0,16870.0,16728.0
,,,,,,,,,,,,,,,,,,,,,withdrawal,127,,pairwise_support_c,StrongLocal-HumanGT,StrongLocal,HumanGT,13878.0,13862.0,13707.0,6.2641256153298635,6.100571581513012,1.2457178741351143,1.2134443501888676,44.01052486479234,36.07527226153937,6550.621579692325,4925.539289999621,0.3251873823664035,0.3472286043591039,0.09448818897637795,0.05511811023622047,13707.0,13707.0,13551.0,13399.0
,,,,,,,,,,,,,,,,,,,,,overall,127,,pairwise_support_c,StrongLocal-RobotSmooth,StrongLocal,RobotSmooth,30575.0,30556.0,30271.0,4.956772320790952,4.904358379334256,0.9397903666778085,0.8864005131506,39.17835551421587,32.67933746887488,5839.158535941244,4868.33429690885,0.39068561818160674,0.3739405094536596,0.11811023622047244,0.011811023622047244,30271.0,30271.0,29988.0,29708.0
