take,strategy,travel,rms_velocity,rms_acceleration,rms_jerk,margin_min,jp_sigma_min,jr_sigma_min,violations,support_bites,support_success_frames
trial_0019,B2,5.438759664756846,0.945227858269662,25.088774815174204,3401.6319991253176,0.3931111773168986,0.2632321516658831,1.2989329219361119,0.038461538461538464,26,6450
trial_0019,B3,5.67310496982454,0.9831781457986969,36.387774541850966,5450.051206709706,0.3805395819264146,0.263084788062416,1.2957177179973312,0.038461538461538464,26,6450
trial_0019,H_star,5.664787836966839,0.9770395716997632,37.372307950322224,5772.601789502138,0.38167369682920926,0.26332487075519706,1.2956249129674882,0.057692307692307696,26,6448
trial_0019,HumanGT,5.488589649817187,0.9434417808547467,26.55038636512995,3688.72355514971,0.38674015323992256,0.26350414374454717,1.2949596713427118,0.038461538461538464,26,6438
trial_0019,RobotSmooth,5.686745503353196,0.9783790141715156,36.16396187917822,5498.9529106745895,0.38389684976305705,0.263343849950683,1.28552443497851,0.0,26,6491
trial_0019,StrongLocal,5.589359615678331,0.9693120363883718,31.717266076514214,4682.688542225916,0.38653142139358027,0.26338378359537623,1.2940119691933276,0.038461538461538464,26,6449
trial_0020,B0,4.626296087973005,0.9363247357736887,27.23033799746377,3394.4401720610463,0.1973387909142395,0.2174264167706118,1.3374428288522038,0.2894736842105263,19,4567
trial_0020,B1,4.702390904432829,0.9410375317312005,27.48671992162619,3429.2687446427135,0.20641615345688846,0.217995163200621,1.330389734129377,0.2894736842105263,19,4567
trial_0020,B2,4.387160472686054,0.8690222686793972,27.312282442740166,3434.054387536674,0.21739376098808882,0.21869789016144253,1.3469348339771992,0.0,19,4567
trial_0020,B3,4.70173475062366,0.9185033771028677,37.56811223796123,5302.784971596854,0.20988265411160884,0.21813143168285903,1.3468768558162618,0.0,19,4567
trial_0020,H_star,4.649319223695088,0.9050275134682685,41.15458967757342,6188.60202225136,0.21482697789365854,0.21869443443828696,1.3454804734139705,0.0,19,4567
trial_0020,HumanGT,4.521370747453196,0.8882407460645981,30.629117756599914,4024.145418998284,0.26173181644924637,0.22155006477042993,1.3471238627989053,0.0,19,4567
trial_0020,RobotSmooth,4.579724468597406,0.9150217228378951,36.10874549573536,5073.6440701806805,0.21782017368018428,0.21828674044028074,1.3405916465302257,0.0,19,4567
trial_0020,StrongLocal,4.6284287136518385,0.9070248376441737,35.546340222279376,5030.788959156754,0.21794631973948933,0.21874837441833075,1.3441100941216282,0.0,19,4567
