strategy,reference,source_valid_frames,bite_mean_common_success_frames,psi_rmse,psi_mae,psi_p95,psi_max,q_mean,q_rms,q_p95,q_joint1_mae,q_joint2_mae,q_joint3_mae,q_joint4_mae,q_joint5_mae,q_joint6_mae,q_joint7_mae,elbow_mean,elbow_median,elbow_p95,elbow_max,plane_mean,plane_median,plane_p95,plane_max,scope,take,support_bites,support_common_success_frames
B3,HumanGT,146.28947368421052,140.94736842105263,0.09711098707164618,0.08010845405753055,0.15374767276332632,0.1587616124037718,0.27212366650684244,0.30547392365479903,0.4014938209530597,0.021106334667157292,0.04578253660046839,0.08669958332624603,0.0011890891640290596,0.14373768039004411,0.13242547362792478,0.09654548387500633,0.020961550499727585,0.02105910296385208,0.041824337832354445,0.045076367972533046,0.08010845408425751,0.0814742511436085,0.1537476727633224,0.1587616124037816,take,trial_0015,19,5356
H_star,HumanGT,146.28947368421052,140.97368421052633,0.09646125573741998,0.08044584383544838,0.15075891527821206,0.15667391435127773,0.27007638485856467,0.30097552315929166,0.39332542983106755,0.02166584355938159,0.045366806833103214,0.08744751527301609,0.001080835520171424,0.1433792037421563,0.13014722994564,0.09642294438891223,0.020883585251019177,0.020379040794945034,0.040670664521626064,0.04268511110980781,0.08044584386212734,0.07995909161717676,0.15075891527820814,0.1566739143512736,take,trial_0015,19,5357
RobotSmooth,HumanGT,146.28947368421052,136.94736842105263,0.1704655231167593,0.14114686610269528,0.2651162352573104,0.2798349714289853,0.24627639140380592,0.3025284476095434,0.46361621086834265,0.03821711264917624,0.07722803873546805,0.15476702460676028,0.002051904913893621,0.11743918336111224,0.10972745750649707,0.02734583691114406,0.0359769352806276,0.03277640669891302,0.07142456129405175,0.0751837163500958,0.14114686613006827,0.1381055506266887,0.26511623525731187,0.2798349714284022,take,trial_0015,19,5204
StrongLocal,HumanGT,146.28947368421052,140.97368421052633,0.08864222857339492,0.07273911975513003,0.14245642400749184,0.1474530974820837,0.2593185668127635,0.2902793789351355,0.3825846177845513,0.019867315211966576,0.04082323752853794,0.07963339981982076,0.0010249065820112512,0.13868976239689412,0.12511365722638867,0.09514928247227435,0.01883623889888361,0.018514514710617616,0.038427063529543025,0.04032464493887646,0.07273911978179523,0.07209004759794298,0.14245642400748929,0.1474530974820829,take,trial_0015,19,5357
B0,HumanGT,128.2,124.26666666666667,0.12119796730590568,0.09881473984545347,0.1910703632655932,0.1986199233053136,0.17667448158061572,0.2203701936792953,0.3557756601269063,0.04291538342701746,0.04323272260273621,0.1032853335562612,0.002143169574649136,0.08605572285373037,0.0554471559697728,0.05590489601536455,0.025843244234866895,0.025381727454456136,0.05247783069090579,0.05451560744559348,0.09881473993263275,0.10209408316297447,0.19107036326559285,0.19861992330531417,take,trial_0017,15,3728
B1,HumanGT,128.2,124.26666666666667,0.12032946785349394,0.10134581023455658,0.18805641784835084,0.19447073753628175,0.1848166596368066,0.22311428159725638,0.36952125318059453,0.042049404088108505,0.04162620175654367,0.11054676862234453,0.002326324257548737,0.09586208351437196,0.057124717840928846,0.0519160269140304,0.02516545582067948,0.024958559909277138,0.048915151603522986,0.05039812262668172,0.1013458103217311,0.10534731419129215,0.1880564178483546,0.19447073753627878,take,trial_0017,15,3728
B2,HumanGT,128.2,124.23333333333333,0.06376241921091977,0.05344556802387209,0.09867904657034507,0.10402720558444385,0.09839175000640567,0.12305942794761174,0.18924307242476532,0.019624682142704544,0.021058517187728013,0.06108415329017758,0.0012102762805112732,0.05355165439285313,0.0317205758965908,0.020768954210673055,0.012335686635204643,0.012451035639454777,0.024252340622531333,0.025905411190977598,0.053445568111046324,0.057482262099918816,0.09867904657034769,0.10402720558444731,take,trial_0017,15,3727
B3,HumanGT,128.2,124.23333333333333,0.06645223579736868,0.05464638543810445,0.10810043119148578,0.11446051569228437,0.0994744416021278,0.12302999209349315,0.20499958376099917,0.021244971537691972,0.021550577822930194,0.060626892955990504,0.001162790261970266,0.05321456634409584,0.03152871245942097,0.023890702632807643,0.01301457550692176,0.013050934273229,0.0272649399073554,0.02909745539017818,0.054646385525279166,0.05740761788494894,0.10810043119148548,0.11446051569229082,take,trial_0017,15,3727
H_star,HumanGT,128.2,124.26666666666667,0.048725067000514,0.04098852702085663,0.0781897256682243,0.08322321130743708,0.07528308599853319,0.09134411269474886,0.14942886129716026,0.014911812399913958,0.016261082956150925,0.046699144747583965,0.0008984016944982797,0.04099321799379565,0.024167503288740243,0.016137456803158028,0.009488194236453217,0.009769786166296897,0.01919455396213973,0.020601120610719247,0.04098852710802432,0.043989078739297506,0.07818972566822595,0.08322321130744018,take,trial_0017,15,3728
RobotSmooth,HumanGT,128.2,124.26666666666667,0.10607449100546561,0.08640189075524292,0.1723895672006376,0.18528919469539598,0.15612421527944742,0.19542478142180422,0.32382084900665414,0.03577913784057903,0.037536966805369686,0.09355680367890333,0.0019371716345253228,0.0767014812606913,0.051031339229089895,0.044253203646599654,0.022063434953181884,0.020278193340418693,0.046967379361882236,0.04997035439308392,0.08640189084242436,0.08541643063947345,0.17238956720063914,0.18528919469539565,take,trial_0017,15,3728
StrongLocal,HumanGT,128.2,124.26666666666667,0.06396658058285724,0.05328117838549445,0.10252760560163211,0.10865176541336385,0.09806590680855817,0.12584133749825366,0.1939069280573182,0.02061931731034659,0.020985160196570256,0.06005699370827345,0.0012586178639448096,0.052822204393681224,0.030896244775570302,0.023007108430031526,0.012634589177416824,0.012933164210917116,0.025885871504789548,0.02754727001285196,0.05328117847267318,0.05727111906396089,0.10252760560163152,0.10865176541336834,take,trial_0017,15,3728
